UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = ECG
SampleTime  = 1

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20502818     ECG1   3633 
     20502819     ECG1   3633 
     20502820     ECG1   3633 
     20502821     ECG1   3633 
     20502822     ECG1   3633 
     20502823     ECG1   3633 
     20502824     ECG1   3633 
     20502825     ECG1   3633 
     20502826     ECG1   3633 
     20502827     ECG1   3633 
     20502828     ECG1   3633 
     20502829     ECG1   3633 
     20502830     ECG1   3633 
     20502831     ECG1   3633 
     20502832     ECG1   3633 
     20502833     ECG1   3633 
     20502834     ECG1   3633 
     20502835     ECG1   3633 
     20502836     ECG1   3633 
     20502837     ECG1   3633 
     20502838     ECG1   3633 
     20502839     ECG1   3633 
     20502840     ECG1   3633 
     20502818     ECG2   2931 
     20502819     ECG2   2931 
     20502820     ECG2   2931 
     20502821     ECG2   2931 
     20502822     ECG2   2931 
     20502823     ECG2   2931 
     20502824     ECG2   2931 
     20502825     ECG2   2931 
     20502826     ECG2   2931 
     20502827     ECG2   2931 
     20502828     ECG2   2931 
     20502829     ECG2   2931 
     20502830     ECG2   2931 
     20502831     ECG2   2931 
     20502832     ECG2   2931 
     20502833     ECG2   2931 
     20502834     ECG2   2931 
     20502835     ECG2   2931 
     20502836     ECG2   2931 
     20502837     ECG2   2931 
     20502838     ECG2   2931 
     20502839     ECG2   2931 
     20502840     ECG2   2931 
     20502818     ECG3   3517 
     20502819     ECG3   3517 
     20502820     ECG3   3517 
     20502821     ECG3   3517 
     20502822     ECG3   3517 
     20502823     ECG3   3517 
     20502824     ECG3   3517 
     20502825     ECG3   3517 
     20502826     ECG3   3517 
     20502827     ECG3   3517 
     20502828     ECG3   3517 
     20502829     ECG3   3517 
     20502830     ECG3   3517 
     20502831     ECG3   3517 
     20502832     ECG3   3517 
     20502833     ECG3   3517 
     20502834     ECG3   3517 
     20502835     ECG3   3517 
     20502836     ECG3   3517 
     20502837     ECG3   3517 
     20502838     ECG3   3517 
     20502839     ECG3   3517 
     20502840     ECG3   3517 
     20502818     ECG4   3930 
     20502819     ECG4   3930 
     20502820     ECG4   3930 
     20502821     ECG4   3930 
     20502822     ECG4   3930 
     20502823     ECG4   3930 
     20502824     ECG4   3930 
     20502825     ECG4   3930 
     20502826     ECG4   3930 
     20502827     ECG4   3930 
     20502828     ECG4   3930 
     20502829     ECG4   3930 
     20502830     ECG4   3930 
     20502831     ECG4   3930 
     20502832     ECG4   3930 
     20502833     ECG4   3930 
     20502834     ECG4   3930 
     20502835     ECG4   3930 
     20502836     ECG4   3930 
     20502837     ECG4   3930 
     20502838     ECG4   3930 
     20502839     ECG4   3930 
     20502840     ECG4   3930 
     20502841     ECG1   3633 
     20502842     ECG1   3633 
     20502843     ECG1   3633 
     20502844     ECG1   3633 
     20502845     ECG1   3633 
     20502846     ECG1   3633 
     20502847     ECG1   3633 
     20502848     ECG1   3633 
     20502849     ECG1   3633 
     20502850     ECG1   3633 
     20502851     ECG1   3633 
     20502852     ECG1   3633 
     20502853     ECG1   3633 
     20502854     ECG1   3633 
     20502855     ECG1   3633 
     20502856     ECG1   3633 
     20502857     ECG1   3633 
     20502858     ECG1   3633 
     20502859     ECG1   3633 
     20502860     ECG1   3633 
     20502861     ECG1   3633 
     20502862     ECG1   3633 
     20502863     ECG1   3633 
     20502864     ECG1   3633 
     20502865     ECG1   3633 
     20502866     ECG1   3633 
     20502867     ECG1   3633 
     20502868     ECG1   3633 
     20502869     ECG1   3633 
     20502870     ECG1   3633 
     20502871     ECG1   3633 
     20502872     ECG1   3633 
     20502873     ECG1   3633 
     20502874     ECG1   3633 
     20502875     ECG1   3633 
     20502876     ECG1   3633 
     20502877     ECG1   3633 
     20502878     ECG1   3633 
     20502879     ECG1   3633 
     20502880     ECG1   3633 
     20502841     ECG2   2931 
     20502842     ECG2   2931 
     20502843     ECG2   2931 
     20502844     ECG2   2931 
     20502845     ECG2   2931 
     20502846     ECG2   2931 
     20502847     ECG2   2931 
     20502848     ECG2   2931 
     20502849     ECG2   2931 
     20502850     ECG2   2931 
     20502851     ECG2   2931 
     20502852     ECG2   2931 
     20502853     ECG2   2931 
     20502854     ECG2   2931 
     20502855     ECG2   2931 
     20502856     ECG2   2931 
     20502857     ECG2   2931 
     20502858     ECG2   2931 
     20502859     ECG2   2931 
     20502860     ECG2   2931 
     20502861     ECG2   2931 
     20502862     ECG2   2931 
     20502863     ECG2   2931 
     20502864     ECG2   2931 
     20502865     ECG2   2931 
     20502866     ECG2   2931 
     20502867     ECG2   2931 
     20502868     ECG2   2931 
     20502869     ECG2   2931 
     20502870     ECG2   2931 
     20502871     ECG2   2931 
     20502872     ECG2   2931 
     20502873     ECG2   2931 
     20502874     ECG2   2931 
     20502875     ECG2   2931 
     20502876     ECG2   2931 
     20502877     ECG2   2931 
     20502878     ECG2   2931 
     20502879     ECG2   2931 
     20502880     ECG2   2931 
     20502841     ECG3   3517 
     20502842     ECG3   3517 
     20502843     ECG3   3517 
     20502844     ECG3   3517 
     20502845     ECG3   3517 
     20502846     ECG3   3517 
     20502847     ECG3   3517 
     20502848     ECG3   3517 
     20502849     ECG3   3517 
     20502850     ECG3   3517 
     20502851     ECG3   3517 
     20502852     ECG3   3517 
     20502853     ECG3   3517 
     20502854     ECG3   3517 
     20502855     ECG3   3517 
     20502856     ECG3   3517 
     20502857     ECG3   3517 
     20502858     ECG3   3517 
     20502859     ECG3   3517 
     20502860     ECG3   3517 
     20502861     ECG3   3517 
     20502862     ECG3   3517 
     20502863     ECG3   3517 
     20502864     ECG3   3517 
     20502865     ECG3   3517 
     20502866     ECG3   3517 
     20502867     ECG3   3517 
     20502868     ECG3   3517 
     20502869     ECG3   3517 
     20502870     ECG3   3517 
     20502871     ECG3   3517 
     20502872     ECG3   3517 
     20502873     ECG3   3517 
     20502874     ECG3   3517 
     20502875     ECG3   3517 
     20502876     ECG3   3517 
     20502877     ECG3   3517 
     20502878     ECG3   3517 
     20502879     ECG3   3517 
     20502880     ECG3   3517 
     20502841     ECG4   3930 
     20502842     ECG4   3930 
     20502843     ECG4   3930 
     20502844     ECG4   3930 
     20502845     ECG4   3930 
     20502846     ECG4   3930 
     20502847     ECG4   3930 
     20502848     ECG4   3930 
     20502849     ECG4   3930 
     20502850     ECG4   3930 
     20502851     ECG4   3930 
     20502852     ECG4   3930 
     20502853     ECG4   3930 
     20502854     ECG4   3930 
     20502855     ECG4   3930 
     20502856     ECG4   3930 
     20502857     ECG4   3930 
     20502858     ECG4   3930 
     20502859     ECG4   3930 
     20502860     ECG4   3930 
     20502861     ECG4   3930 
     20502862     ECG4   3930 
     20502863     ECG4   3930 
     20502864     ECG4   3930 
     20502865     ECG4   3930 
     20502866     ECG4   3930 
     20502867     ECG4   3930 
     20502868     ECG4   3930 
     20502869     ECG4   3930 
     20502870     ECG4   3930 
     20502871     ECG4   3930 
     20502872     ECG4   3930 
     20502873     ECG4   3930 
     20502874     ECG4   3930 
     20502875     ECG4   3930 
     20502876     ECG4   3930 
     20502877     ECG4   3930 
     20502878     ECG4   3930 
     20502879     ECG4   3930 
     20502880     ECG4   3930 
     20502881     ECG1   3633 
     20502882     ECG1   3633 
     20502883     ECG1   3633 
     20502884     ECG1   3633 
     20502885     ECG1   3633 
     20502886     ECG1   3633 
     20502887     ECG1   3633 
     20502888     ECG1   3633 
     20502889     ECG1   3633 
     20502890     ECG1   3633 
     20502891     ECG1   3633 
     20502892     ECG1   3633 
     20502893     ECG1   3633 
     20502894     ECG1   3633 
     20502895     ECG1   3633 
     20502896     ECG1   3633 
     20502897     ECG1   3633 
     20502898     ECG1   3633 
     20502899     ECG1   3633 
     20502900     ECG1   3633 
     20502901     ECG1   3633 
     20502902     ECG1   3633 
     20502903     ECG1   3633 
     20502904     ECG1   3633 
     20502905     ECG1   3633 
     20502906     ECG1   3633 
     20502907     ECG1   3633 
     20502908     ECG1   3633 
     20502909     ECG1   3633 
     20502910     ECG1   3633 
     20502911     ECG1   3633 
     20502912     ECG1   3633 
     20502913     ECG1   3633 
     20502914     ECG1   3633 
     20502915     ECG1   3633 
     20502916     ECG1   3633 
     20502917     ECG1   3633 
     20502918     ECG1   3633 
     20502919     ECG1   3633 
     20502920     ECG1   3633 
     20502881     ECG2   2931 
     20502882     ECG2   2931 
     20502883     ECG2   2931 
     20502884     ECG2   2931 
     20502885     ECG2   2931 
     20502886     ECG2   2931 
     20502887     ECG2   2931 
     20502888     ECG2   2931 
     20502889     ECG2   2931 
     20502890     ECG2   2931 
     20502891     ECG2   2931 
     20502892     ECG2   2931 
     20502893     ECG2   2931 
     20502894     ECG2   2931 
     20502895     ECG2   2931 
     20502896     ECG2   2931 
     20502897     ECG2   2931 
     20502898     ECG2   2931 
     20502899     ECG2   2931 
     20502900     ECG2   2931 
     20502901     ECG2   2931 
     20502902     ECG2   2931 
     20502903     ECG2   2931 
     20502904     ECG2   2931 
     20502905     ECG2   2931 
     20502906     ECG2   2931 
     20502907     ECG2   2931 
     20502908     ECG2   2931 
     20502909     ECG2   2931 
     20502910     ECG2   2931 
     20502911     ECG2   2931 
     20502912     ECG2   2931 
     20502913     ECG2   2931 
     20502914     ECG2   2931 
     20502915     ECG2   2931 
     20502916     ECG2   2931 
     20502917     ECG2   2931 
     20502918     ECG2   2931 
     20502919     ECG2   2931 
     20502920     ECG2   2931 
     20502881     ECG3   3517 
     20502882     ECG3   3517 
     20502883     ECG3   3517 
     20502884     ECG3   3517 
     20502885     ECG3   3517 
     20502886     ECG3   3517 
     20502887     ECG3   3517 
     20502888     ECG3   3517 
     20502889     ECG3   3517 
     20502890     ECG3   3517 
     20502891     ECG3   3517 
     20502892     ECG3   3517 
     20502893     ECG3   3517 
     20502894     ECG3   3517 
     20502895     ECG3   3517 
     20502896     ECG3   3517 
     20502897     ECG3   3517 
     20502898     ECG3   3517 
     20502899     ECG3   3517 
     20502900     ECG3   3517 
     20502901     ECG3   3517 
     20502902     ECG3   3517 
     20502903     ECG3   3517 
     20502904     ECG3   3517 
     20502905     ECG3   3517 
     20502906     ECG3   3517 
     20502907     ECG3   3517 
     20502908     ECG3   3517 
     20502909     ECG3   3517 
     20502910     ECG3   3517 
     20502911     ECG3   3517 
