UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20459402     PULS   2416 
     20459404     PULS   2416 
     20459406     PULS   2431 
     20459408     PULS   2431 
     20459410     PULS   2446 
     20459412     PULS   2461 
     20459414     PULS   2461 
     20459416     PULS   2446 
     20459418     PULS   2461 
     20459420     PULS   2446 
     20459422     PULS   2431 
     20459424     PULS   2431 
     20459426     PULS   2431 
     20459428     PULS   2402 
     20459430     PULS   2387 
     20459432     PULS   2372 
     20459434     PULS   2357 
     20459436     PULS   2343 
     20459438     PULS   2357 
     20459440     PULS   2328 
     20459426     PULS   2048  PULS_TRIGGER
     20459441     PULS   2328 
     20459443     PULS   2328 
     20459445     PULS   2328 
     20459447     PULS   2313 
     20459449     PULS   2298 
     20459451     PULS   2284 
     20459453     PULS   2284 
     20459455     PULS   2239 
     20459457     PULS   2225 
     20459459     PULS   2195 
     20459461     PULS   2180 
     20459463     PULS   2166 
     20459465     PULS   2136 
     20459467     PULS   2121 
     20459469     PULS   2107 
     20459471     PULS   2107 
     20459473     PULS   2107 
     20459475     PULS   2107 
     20459477     PULS   2121 
     20459479     PULS   2121 
     20459481     PULS   2121 
     20459483     PULS   2136 
     20459485     PULS   2121 
     20459487     PULS   2107 
     20459489     PULS   2077 
     20459493     PULS   2033 
     20459495     PULS   2003 
     20459497     PULS   1989 
     20459499     PULS   1974 
     20459501     PULS   1974 
     20459503     PULS   1989 
     20459505     PULS   2003 
     20459507     PULS   2018 
     20459509     PULS   2033 
     20459513     PULS   2062 
     20459515     PULS   2077 
     20459517     PULS   2077 
     20459519     PULS   2092 
     20459521     PULS   2077 
     20459523     PULS   2077 
     20459525     PULS   2092 
     20459527     PULS   2092 
     20459529     PULS   2107 
     20459531     PULS   2121 
     20459533     PULS   2121 
     20459535     PULS   2121 
     20459537     PULS   2136 
     20459539     PULS   2136 
     20459541     PULS   2136 
     20459543     PULS   2136 
     20459545     PULS   2121 
     20459547     PULS   2121 
     20459549     PULS   2107 
     20459551     PULS   2092 
     20459553     PULS   2092 
     20459555     PULS   2077 
     20459557     PULS   2062 
     20459563     PULS   2033 
     20459565     PULS   2033 
     20459567     PULS   2018 
     20459569     PULS   2003 
     20459571     PULS   2003 
     20459573     PULS   1989 
     20459575     PULS   1989 
     20459577     PULS   1974 
     20459579     PULS   1974 
     20459581     PULS   1974 
     20459583     PULS   1974 
     20459585     PULS   1974 
     20459587     PULS   1959 
     20459589     PULS   1944 
     20459591     PULS   1930 
     20459593     PULS   1930 
     20459595     PULS   1930 
     20459597     PULS   1915 
     20459599     PULS   1930 
     20459601     PULS   1930 
     20459603     PULS   1930 
     20459605     PULS   1944 
     20459607     PULS   1944 
     20459609     PULS   1944 
     20459611     PULS   1959 
     20459613     PULS   1959 
     20459615     PULS   1974 
     20459617     PULS   1989 
     20459619     PULS   2003 
     20459621     PULS   2003 
     20459623     PULS   2003 
     20459625     PULS   2003 
     20459627     PULS   1989 
     20459629     PULS   1989 
     20459631     PULS   1974 
     20459633     PULS   1944 
     20459635     PULS   1915 
     20459637     PULS   1885 
     20459639     PULS   1871 
     20459641     PULS   1871 
     20459643     PULS   1871 
     20459645     PULS   1871 
     20459647     PULS   1871 
     20459649     PULS   1856 
     20459651     PULS   1856 
     20459653     PULS   1856 
     20459655     PULS   1856 
     20459657     PULS   1856 
     20459659     PULS   1871 
     20459661     PULS   1856 
     20459663     PULS   1856 
     20459665     PULS   1841 
     20459667     PULS   1826 
     20459669     PULS   1826 
     20459671     PULS   1826 
     20459673     PULS   1812 
     20459675     PULS   1797 
     20459677     PULS   1797 
     20459679     PULS   1812 
     20459681     PULS   1841 
     20459683     PULS   1856 
     20459685     PULS   1885 
     20459687     PULS   1915 
     20459689     PULS   1944 
     20459691     PULS   1974 
     20459693     PULS   2003 
     20459695     PULS   2033 
     20459697     PULS   2062 
     20459699     PULS   2092 
     20459701     PULS   2121 
     20459703     PULS   2136 
     20459705     PULS   2166 
     20459707     PULS   2180 
     20459709     PULS   2195 
     20459711     PULS   2210 
     20459713     PULS   2225 
     20459715     PULS   2254 
     20459717     PULS   2269 
     20459719     PULS   2284 
     20459721     PULS   2313 
     20459723     PULS   2343 
     20459725     PULS   2372 
     20459727     PULS   2372 
     20459729     PULS   2402 
     20459731     PULS   2402 
     20459733     PULS   2416 
     20459735     PULS   2416 
     20459737     PULS   2431 
     20459739     PULS   2431 
     20459741     PULS   2461 
     20459743     PULS   2461 
     20459745     PULS   2475 
     20459747     PULS   2490 
     20459749     PULS   2475 
     20459751     PULS   2475 
     20459753     PULS   2475 
     20459755     PULS   2446 
     20459757     PULS   2431 
     20459759     PULS   2416 
     20459761     PULS   2402 
     20459763     PULS   2402 
     20459765     PULS   2402 
     20459767     PULS   2402 
     20459769     PULS   2402 
     20459771     PULS   2402 
     20459773     PULS   2402 
     20459775     PULS   2402 
     20459777     PULS   2402 
     20459779     PULS   2416 
     20459781     PULS   2416 
     20459783     PULS   2416 
     20459785     PULS   2416 
     20459787     PULS   2416 
     20459789     PULS   2402 
     20459791     PULS   2372 
     20459793     PULS   2357 
     20459795     PULS   2328 
     20459797     PULS   2313 
     20459799     PULS   2284 
     20459765     PULS   2048  PULS_TRIGGER
     20459801     PULS   2269 
     20459803     PULS   2239 
     20459805     PULS   2225 
     20459807     PULS   2195 
     20459809     PULS   2180 
     20459811     PULS   2166 
     20459813     PULS   2166 
     20459815     PULS   2166 
     20459817     PULS   2166 
     20459819     PULS   2136 
     20459821     PULS   2121 
     20459823     PULS   2121 
     20459825     PULS   2107 
     20459827     PULS   2107 
     20459829     PULS   2121 
     20459831     PULS   2107 
     20459833     PULS   2107 
     20459835     PULS   2107 
     20459837     PULS   2107 
     20459839     PULS   2092 
     20459841     PULS   2077 
     20459843     PULS   2077 
     20459845     PULS   2062 
     20459847     PULS   2062 
     20459849     PULS   2062 
     20459851     PULS   2062 
     20459853     PULS   2077 
     20459855     PULS   2092 
     20459857     PULS   2092 
     20459859     PULS   2092 
     20459861     PULS   2107 
     20459863     PULS   2092 
     20459865     PULS   2092 
     20459867     PULS   2077 
     20459869     PULS   2077 
     20459871     PULS   2062 
     20459873     PULS   2077 
     20459875     PULS   2062 
     20459879     PULS   2018 
     20459881     PULS   1974 
     20459883     PULS   1944 
     20459885     PULS   1915 
     20459887     PULS   1915 
     20459889     PULS   1900 
     20459891     PULS   1900 
     20459893     PULS   1885 
     20459895     PULS   1900 
     20459897     PULS   1900 
     20459899     PULS   1900 
     20459901     PULS   1885 
     20459903     PULS   1871 
     20459905     PULS   1856 
     20459907     PULS   1841 
     20459909     PULS   1826 
     20459911     PULS   1797 
     20459913     PULS   1782 
     20459915     PULS   1767 
     20459917     PULS   1767 
     20459919     PULS   1767 
     20459921     PULS   1782 
     20459923     PULS   1797 
     20459925     PULS   1826 
     20459927     PULS   1856 
     20459929     PULS   1900 
     20459931     PULS   1930 
     20459933     PULS   1959 
     20459935     PULS   1989 
     20459937     PULS   2003 
     20459939     PULS   2033 
     20459941     PULS   2033 
     20459943     PULS   2033 
     20459945     PULS   2033 
     20459947     PULS   2033 
     20459949     PULS   2018 
     20459951     PULS   2018 
     20459953     PULS   2018 
     20459955     PULS   2003 
     20459957     PULS   2003 
     20459959     PULS   2003 
     20459961     PULS   2003 
     20459963     PULS   2003 
     20459965     PULS   2003 
     20459967     PULS   1989 
     20459969     PULS   1974 
     20459971     PULS   1959 
     20459973     PULS   1944 
     20459975     PULS   1944 
     20459977     PULS   1944 
     20459979     PULS   1930 
     20459981     PULS   1930 
     20459983     PULS   1915 
     20459985     PULS   1900 
     20459987     PULS   1871 
     20459989     PULS   1841 
     20459991     PULS   1812 
     20459993     PULS   1767 
     20459995     PULS   1738 
     20459997     PULS   1708 
     20459999     PULS   1694 
     20460001     PULS   1679 
     20460003     PULS   1664 
     20460005     PULS   1664 
     20460007     PULS   1679 
     20460009     PULS   1708 
     20460011     PULS   1738 
     20460013     PULS   1782 
     20460015     PULS   1812 
     20460017     PULS   1826 
     20460019     PULS   1841 
     20460021     PULS   1871 
     20460023     PULS   1885 
     20460025     PULS   1900 
     20460027     PULS   1915 
     20460029     PULS   1944 
     20460031     PULS   1944 
     20460033     PULS   1974 
     20460035     PULS   2003 
     20460037     PULS   2018 
     20460039     PULS   2033 
     20460041     PULS   2062 
     20460043     PULS   2092 
     20460045     PULS   2121 
     20460047     PULS   2166 
     20460049     PULS   2195 
     20460051     PULS   2254 
     20460053     PULS   2284 
     20460055     PULS   2343 
     20460057     PULS   2372 
     20460059     PULS   2402 
     20460061     PULS   2431 
     20460063     PULS   2461 
     20460065     PULS   2475 
     20460067     PULS   2490 
     20460069     PULS   2505 
     20460071     PULS   2505 
     20460073     PULS   2505 
     20460075     PULS   2505 
     20460077     PULS   2490 
     20460079     PULS   2490 
     20460081     PULS   2490 
     20460083     PULS   2505 
     20460085     PULS   2505 
     20460087     PULS   2520 
     20460089     PULS   2534 
     20460091     PULS   2534 
     20460093     PULS   2534 
     20460095     PULS   2520 
     20460097     PULS   2505 
     20460099     PULS   2490 
     20460101     PULS   2490 
     20460103     PULS   2475 
     20460105     PULS   2461 
     20460107     PULS   2446 
     20460109     PULS   2431 
     20460111     PULS   2416 
     20460113     PULS   2416 
     20460115     PULS   2402 
     20460117     PULS   2402 
     20460119     PULS   2372 
     20460107     PULS   2048  PULS_TRIGGER
     20460121     PULS   2372 
     20460123     PULS   2357 
     20460125     PULS   2343 
     20460127     PULS   2343 
     20460129     PULS   2328 
     20460131     PULS   2313 
     20460133     PULS   2298 
     20460135     PULS   2284 
     20460137     PULS   2254 
     20460139     PULS   2225 
     20460141     PULS   2180 
     20460143     PULS   2151 
     20460145     PULS   2121 
     20460147     PULS   2092 
     20460149     PULS   2062 
     20460153     PULS   2033 
     20460155     PULS   2018 
     20460157     PULS   2003 
     20460159     PULS   2018 
     20460161     PULS   2018 
     20460163     PULS   2033 
     20460165     PULS   2033 
     20460169     PULS   2062 
     20460171     PULS   2077 
     20460173     PULS   2077 
     20460175     PULS   2107 
     20460177     PULS   2121 
     20460179     PULS   2136 
     20460181     PULS   2151 
     20460183     PULS   2151 
     20460185     PULS   2136 
