UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20459402     RESP   2432 
     20459410     RESP   2419 
     20459418     RESP   2409 
     20459426     RESP   2404 
     20459434     RESP   2402 
     20459441     RESP   2405 
     20459449     RESP   2412 
     20459457     RESP   2423 
     20459465     RESP   2436 
     20459473     RESP   2454 
     20459481     RESP   2475 
     20459489     RESP   2501 
     20459497     RESP   2529 
     20459505     RESP   2559 
     20459513     RESP   2586 
     20459521     RESP   2609 
     20459529     RESP   2628 
     20459537     RESP   2642 
     20459545     RESP   2652 
     20459553     RESP   2657 
     20459561     RESP   2657 
     20459569     RESP   2654 
     20459577     RESP   2645 
     20459585     RESP   2631 
     20459593     RESP   2613 
     20459601     RESP   2591 
     20459609     RESP   2567 
     20459617     RESP   2544 
     20459625     RESP   2522 
     20459633     RESP   2501 
     20459641     RESP   2481 
     20459649     RESP   2463 
     20459657     RESP   2446 
     20459665     RESP   2432 
     20459673     RESP   2419 
     20459681     RESP   2408 
     20459689     RESP   2398 
     20459697     RESP   2390 
     20459705     RESP   2382 
     20459713     RESP   2376 
     20459721     RESP   2370 
     20459729     RESP   2366 
     20459737     RESP   2361 
     20459745     RESP   2355 
     20459753     RESP   2349 
     20459761     RESP   2341 
     20459769     RESP   2333 
     20459777     RESP   2324 
     20459785     RESP   2315 
     20459793     RESP   2306 
     20459801     RESP   2295 
     20459809     RESP   2284 
     20459817     RESP   2271 
     20459825     RESP   2258 
     20459833     RESP   2243 
     20459841     RESP   2228 
     20459849     RESP   2214 
     20459857     RESP   2200 
     20459865     RESP   2186 
     20459873     RESP   2172 
     20459881     RESP   2158 
     20459889     RESP   2144 
     20459897     RESP   2130 
     20459905     RESP   2118 
     20459913     RESP   2107 
     20459921     RESP   2097 
     20459929     RESP   2090 
     20459937     RESP   2085 
     20459945     RESP   2081 
     20459953     RESP   2079 
     20459961     RESP   2080 
     20459969     RESP   2084 
     20459977     RESP   2090 
     20459985     RESP   2100 
     20459993     RESP   2113 
     20460001     RESP   2129 
     20460009     RESP   2149 
     20460017     RESP   2172 
     20460025     RESP   2198 
     20460033     RESP   2227 
     20460041     RESP   2259 
     20460049     RESP   2293 
     20460057     RESP   2329 
     20460065     RESP   2367 
     20460073     RESP   2406 
     20460081     RESP   2448 
     20460089     RESP   2491 
     20460097     RESP   2534 
     20460105     RESP   2578 
     20460113     RESP   2622 
     20460121     RESP   2666 
     20460129     RESP   2710 
     20460137     RESP   2754 
     20460145     RESP   2799 
     20460153     RESP   2843 
     20460161     RESP   2888 
     20460169     RESP   2933 
     20460177     RESP   2978 
     20460185     RESP   3023 
     20460193     RESP   3066 
     20460201     RESP   3110 
     20460209     RESP   3153 
     20460217     RESP   3197 
     20460225     RESP   3240 
     20460233     RESP   3282 
     20460241     RESP   3326 
     20460249     RESP   3368 
     20460257     RESP   3410 
     20460265     RESP   3452 
     20460273     RESP   3492 
     20460281     RESP   3533 
     20460289     RESP   3575 
     20460297     RESP   3616 
     20460305     RESP   3658 
     20460313     RESP   3700 
     20460321     RESP   3741 
     20460329     RESP   3783 
     20460337     RESP   3824 
     20460345     RESP   3866 
     20460353     RESP   3908 
     20460361     RESP   3949 
     20460369     RESP   3990 
     20460377     RESP   4030 
     20460385     RESP   4070 
     20460393     RESP   4095 
     20460401     RESP   4095 
     20460409     RESP   4095 
     20460417     RESP   4095 
     20460425     RESP   4095 
     20460433     RESP   4095 
     20460441     RESP   4095 
     20460449     RESP   4095 
     20460457     RESP   4095 
     20460465     RESP   4095 
     20460473     RESP   4095 
     20460481     RESP   4095 
     20460489     RESP   4095 
     20460497     RESP   4095 
     20460505     RESP   4095 
     20460513     RESP   4095 
     20460521     RESP   4095 
     20460529     RESP   4095 
     20460537     RESP   4095 
     20460545     RESP   4095 
     20460553     RESP   4095 
     20460561     RESP   4095 
     20460569     RESP   4095 
     20460577     RESP   4095 
     20460585     RESP   4095 
     20460593     RESP   4095 
     20460601     RESP   4095 
     20460609     RESP   4054 
     20460617     RESP   4014 
     20460625     RESP   3974 
     20460633     RESP   3934 
     20460641     RESP   3894 
     20460649     RESP   3856 
     20460657     RESP   3818 
     20460665     RESP   3780 
     20460673     RESP   3744 
     20460681     RESP   3709 
     20460689     RESP   3675 
     20460697     RESP   3643 
     20460705     RESP   3612 
     20460713     RESP   3582 
     20460721     RESP   3552 
     20460729     RESP   3521 
     20460737     RESP   3491 
     20460745     RESP   3459 
     20460753     RESP   3428 
     20460761     RESP   3397 
     20460769     RESP   3365 
     20460777     RESP   3333 
     20460785     RESP   3302 
     20460793     RESP   3270 
     20460801     RESP   3237 
     20460809     RESP   3205 
     20460817     RESP   3172 
     20460825     RESP   3140 
     20460833     RESP   3108 
     20460841     RESP   3076 
     20460849     RESP   3045 
     20460857     RESP   3015 
     20460865     RESP   2987 
     20460873     RESP   2958 
     20460881     RESP   2931 
     20460889     RESP   2904 
     20460897     RESP   2877 
     20460905     RESP   2852 
     20460913     RESP   2829 
     20460921     RESP   2808 
     20460929     RESP   2788 
     20460937     RESP   2769 
     20460945     RESP   2752 
     20460953     RESP   2736 
     20460961     RESP   2720 
     20460969     RESP   2706 
     20460977     RESP   2692 
     20460985     RESP   2679 
     20460993     RESP   2667 
     20461001     RESP   2655 
     20461009     RESP   2643 
     20461017     RESP   2630 
     20461025     RESP   2616 
     20461033     RESP   2600 
     20461041     RESP   2585 
     20461049     RESP   2569 
     20461057     RESP   2553 
     20461065     RESP   2537 
     20461073     RESP   2521 
     20461081     RESP   2506 
     20461089     RESP   2490 
     20461097     RESP   2475 
     20461105     RESP   2460 
     20461113     RESP   2446 
     20461121     RESP   2433 
     20461129     RESP   2421 
     20461137     RESP   2409 
     20461145     RESP   2398 
     20461153     RESP   2387 
     20461161     RESP   2375 
     20461169     RESP   2362 
     20461177     RESP   2349 
     20461185     RESP   2336 
     20461193     RESP   2322 
     20461201     RESP   2309 
     20461209     RESP   2296 
     20461217     RESP   2283 
     20461225     RESP   2270 
     20461233     RESP   2258 
     20461241     RESP   2246 
     20461249     RESP   2235 
     20461257     RESP   2226 
     20461265     RESP   2219 
     20461273     RESP   2213 
     20461281     RESP   2208 
     20461289     RESP   2204 
     20461297     RESP   2202 
     20461305     RESP   2201 
     20461313     RESP   2201 
     20461321     RESP   2202 
     20461329     RESP   2205 
     20461337     RESP   2208 
     20461345     RESP   2214 
     20461353     RESP   2221 
     20461361     RESP   2229 
     20461369     RESP   2238 
     20461377     RESP   2249 
     20461385     RESP   2261 
     20461393     RESP   2274 
     20461401     RESP   2289 
     20461409     RESP   2305 
     20461417     RESP   2322 
     20461425     RESP   2340 
     20461433     RESP   2359 
     20461441     RESP   2379 
     20461449     RESP   2399 
     20461457     RESP   2420 
     20461465     RESP   2442 
     20461473     RESP   2464 
     20461481     RESP   2487 
     20461489     RESP   2511 
     20461497     RESP   2537 
     20461505     RESP   2565 
     20461513     RESP   2595 
     20461521     RESP   2627 
     20461529     RESP   2660 
     20461537     RESP   2695 
     20461545     RESP   2732 
     20461553     RESP   2770 
     20461561     RESP   2810 
     20461569     RESP   2851 
     20461577     RESP   2894 
     20461585     RESP   2938 
     20461593     RESP   2983 
     20461601     RESP   3027 
     20461609     RESP   3072 
     20461617     RESP   3116 
     20461625     RESP   3160 
     20461633     RESP   3204 
     20461641     RESP   3248 
     20461649     RESP   3292 
     20461657     RESP   3336 
     20461665     RESP   3380 
     20461673     RESP   3424 
     20461681     RESP   3468 
     20461689     RESP   3512 
     20461697     RESP   3557 
     20461705     RESP   3602 
     20461713     RESP   3648 
     20461721     RESP   3695 
     20461729     RESP   3743 
     20461737     RESP   3790 
     20461745     RESP   3838 
     20461753     RESP   3885 
     20461761     RESP   3933 
     20461769     RESP   3979 
     20461777     RESP   4024 
     20461785     RESP   4068 
     20461793     RESP   4095 
     20461801     RESP   4095 
     20461809     RESP   4095 
     20461817     RESP   4095 
     20461825     RESP   4095 
     20461833     RESP   4095 
     20461841     RESP   4095 
     20461849     RESP   4095 
     20461857     RESP   4095 
     20461865     RESP   4095 
     20461873     RESP   4095 
     20461881     RESP   4095 
     20461889     RESP   4095 
     20461897     RESP   4095 
     20461905     RESP   4095 
     20461913     RESP   4095 
     20461921     RESP   4095 
     20461929     RESP   4095 
     20461937     RESP   4095 
     20461945     RESP   4095 
     20461953     RESP   4095 
     20461961     RESP   4095 
     20461969     RESP   4095 
     20461977     RESP   4095 
     20461985     RESP   4095 
     20461993     RESP   4095 
     20462001     RESP   4095 
     20462009     RESP   4095 
     20462017     RESP   4095 
     20462025     RESP   4095 
     20462033     RESP   4095 
     20462041     RESP   4095 
     20462049     RESP   4079 
     20462057     RESP   4032 
     20462065     RESP   3983 
     20462073     RESP   3933 
     20462081     RESP   3883 
     20462089     RESP   3834 
     20462097     RESP   3786 
     20462105     RESP   3741 
     20462113     RESP   3696 
     20462121     RESP   3654 
     20462129     RESP   3613 
     20462137     RESP   3575 
     20462145     RESP   3538 
     20462153     RESP   3504 
     20462161     RESP   3473 
     20462169     RESP   3444 
     20462177     RESP   3418 
     20462185     RESP   3392 
     20462193     RESP   3367 
     20462201     RESP   3343 
     20462209     RESP   3320 
     20462217     RESP   3296 
     20462225     RESP   3273 
     20462233     RESP   3250 
     20462241     RESP   3228 
     20462249     RESP   3204 
     20462257     RESP   3179 
     20462265     RESP   3153 
     20462273     RESP   3126 
     20462281     RESP   3098 
     20462289     RESP   3069 
     20462297     RESP   3039 
     20462305     RESP   3007 
     20462313     RESP   2975 
     20462321     RESP   2943 
     20462329     RESP   2909 
     20462337     RESP   2874 
     20462345     RESP   2840 
     20462353     RESP   2805 
     20462361     RESP   2773 
     20462369     RESP   2741 
     20462377     RESP   2711 
     20462385     RESP   2682 
     20462393     RESP   2656 
     20462401     RESP   2633 
     20462409     RESP   2611 
     20462417     RESP   2592 
     20462425     RESP   2574 
     20462433     RESP   2558 
     20462441     RESP   2544 
     20462449     RESP   2532 
     20462457     RESP   2522 
     20462465     RESP   2513 
     20462473     RESP   2504 
     20462481     RESP   2495 
     20462489     RESP   2485 
     20462497     RESP   2475 
     20462505     RESP   2465 
     20462513     RESP   2453 
     20462521     RESP   2443 
