UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 545
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         20467435         20467444     0
     0      16         20467435         20467444     0
     0      32         20467435         20467444     0
     0      48         20467435         20467444     0
     0       7         20467460         20467469     0
     0      23         20467460         20467469     0
     0      39         20467460         20467469     0
     0      55         20467460         20467469     0
     0      14         20467485         20467494     0
     0      30         20467485         20467494     0
     0      46         20467485         20467494     0
     0      62         20467485         20467494     0
     0       5         20467510         20467519     0
     0      21         20467510         20467519     0
     0      37         20467510         20467519     0
     0      53         20467510         20467519     0
     0      12         20467535         20467544     0
     0      28         20467535         20467544     0
     0      44         20467535         20467544     0
     0      60         20467535         20467544     0
     0       3         20467560         20467569     0
     0      19         20467560         20467569     0
     0      35         20467560         20467569     0
     0      51         20467560         20467569     0
     0      10         20467585         20467594     0
     0      26         20467585         20467594     0
     0      42         20467585         20467594     0
     0      58         20467585         20467594     0
     0       1         20467610         20467619     0
     0      17         20467610         20467619     0
     0      33         20467610         20467619     0
     0      49         20467610         20467619     0
     0       8         20467635         20467644     0
     0      24         20467635         20467644     0
     0      40         20467635         20467644     0
     0      56         20467635         20467644     0
     0      15         20467660         20467669     0
     0      31         20467660         20467669     0
     0      47         20467660         20467669     0
     0      63         20467660         20467669     0
     0       6         20467685         20467694     0
     0      22         20467685         20467694     0
     0      38         20467685         20467694     0
     0      54         20467685         20467694     0
     0      13         20467710         20467719     0
     0      29         20467710         20467719     0
     0      45         20467710         20467719     0
     0      61         20467710         20467719     0
     0       4         20467735         20467744     0
     0      20         20467735         20467744     0
     0      36         20467735         20467744     0
     0      52         20467735         20467744     0
     0      11         20467760         20467769     0
     0      27         20467760         20467769     0
     0      43         20467760         20467769     0
     0      59         20467760         20467769     0
     0       2         20467785         20467794     0
     0      18         20467785         20467794     0
     0      34         20467785         20467794     0
     0      50         20467785         20467794     0
     0       9         20467810         20467819     0
     0      25         20467810         20467819     0
     0      41         20467810         20467819     0
     0      57         20467810         20467819     0
     1       0         20467835         20467844     0
     1      16         20467835         20467844     0
     1      32         20467835         20467844     0
     1      48         20467835         20467844     0
     1       7         20467860         20467869     0
     1      23         20467860         20467869     0
     1      39         20467860         20467869     0
     1      55         20467860         20467869     0
     1      14         20467885         20467894     0
     1      30         20467885         20467894     0
     1      46         20467885         20467894     0
     1      62         20467885         20467894     0
     1       5         20467910         20467919     0
     1      21         20467910         20467919     0
     1      37         20467910         20467919     0
     1      53         20467910         20467919     0
     1      12         20467935         20467944     0
     1      28         20467935         20467944     0
     1      44         20467935         20467944     0
     1      60         20467935         20467944     0
     1       3         20467960         20467969     0
     1      19         20467960         20467969     0
     1      35         20467960         20467969     0
     1      51         20467960         20467969     0
     1      10         20467985         20467994     0
     1      26         20467985         20467994     0
     1      42         20467985         20467994     0
     1      58         20467985         20467994     0
     1       1         20468010         20468019     0
     1      17         20468010         20468019     0
     1      33         20468010         20468019     0
     1      49         20468010         20468019     0
     1       8         20468035         20468044     0
     1      24         20468035         20468044     0
     1      40         20468035         20468044     0
     1      56         20468035         20468044     0
     1      15         20468060         20468069     0
     1      31         20468060         20468069     0
     1      47         20468060         20468069     0
     1      63         20468060         20468069     0
     1       6         20468085         20468094     0
     1      22         20468085         20468094     0
     1      38         20468085         20468094     0
     1      54         20468085         20468094     0
     1      13         20468110         20468119     0
     1      29         20468110         20468119     0
     1      45         20468110         20468119     0
     1      61         20468110         20468119     0
     1       4         20468135         20468144     0
     1      20         20468135         20468144     0
     1      36         20468135         20468144     0
     1      52         20468135         20468144     0
     1      11         20468160         20468169     0
     1      27         20468160         20468169     0
     1      43         20468160         20468169     0
     1      59         20468160         20468169     0
     1       2         20468185         20468194     0
     1      18         20468185         20468194     0
     1      34         20468185         20468194     0
     1      50         20468185         20468194     0
     1       9         20468210         20468219     0
     1      25         20468210         20468219     0
     1      41         20468210         20468219     0
     1      57         20468210         20468219     0
     2       0         20468235         20468244     0
     2      16         20468235         20468244     0
     2      32         20468235         20468244     0
     2      48         20468235         20468244     0
     2       7         20468260         20468269     0
     2      23         20468260         20468269     0
     2      39         20468260         20468269     0
     2      55         20468260         20468269     0
     2      14         20468285         20468294     0
     2      30         20468285         20468294     0
     2      46         20468285         20468294     0
     2      62         20468285         20468294     0
     2       5         20468310         20468319     0
     2      21         20468310         20468319     0
     2      37         20468310         20468319     0
     2      53         20468310         20468319     0
     2      12         20468335         20468344     0
     2      28         20468335         20468344     0
     2      44         20468335         20468344     0
     2      60         20468335         20468344     0
     2       3         20468360         20468369     0
     2      19         20468360         20468369     0
     2      35         20468360         20468369     0
     2      51         20468360         20468369     0
     2      10         20468385         20468394     0
     2      26         20468385         20468394     0
     2      42         20468385         20468394     0
     2      58         20468385         20468394     0
     2       1         20468410         20468419     0
     2      17         20468410         20468419     0
     2      33         20468410         20468419     0
     2      49         20468410         20468419     0
     2       8         20468435         20468444     0
     2      24         20468435         20468444     0
     2      40         20468435         20468444     0
     2      56         20468435         20468444     0
     2      15         20468460         20468469     0
     2      31         20468460         20468469     0
     2      47         20468460         20468469     0
     2      63         20468460         20468469     0
     2       6         20468485         20468494     0
     2      22         20468485         20468494     0
     2      38         20468485         20468494     0
     2      54         20468485         20468494     0
     2      13         20468510         20468519     0
     2      29         20468510         20468519     0
     2      45         20468510         20468519     0
     2      61         20468510         20468519     0
     2       4         20468535         20468544     0
     2      20         20468535         20468544     0
     2      36         20468535         20468544     0
     2      52         20468535         20468544     0
     2      11         20468560         20468569     0
     2      27         20468560         20468569     0
     2      43         20468560         20468569     0
     2      59         20468560         20468569     0
     2       2         20468585         20468594     0
     2      18         20468585         20468594     0
     2      34         20468585         20468594     0
     2      50         20468585         20468594     0
     2       9         20468610         20468619     0
     2      25         20468610         20468619     0
     2      41         20468610         20468619     0
     2      57         20468610         20468619     0
     3       0         20468635         20468644     0
     3      16         20468635         20468644     0
     3      32         20468635         20468644     0
     3      48         20468635         20468644     0
     3       7         20468660         20468669     0
     3      23         20468660         20468669     0
     3      39         20468660         20468669     0
     3      55         20468660         20468669     0
     3      14         20468685         20468694     0
     3      30         20468685         20468694     0
     3      46         20468685         20468694     0
     3      62         20468685         20468694     0
     3       5         20468710         20468719     0
     3      21         20468710         20468719     0
     3      37         20468710         20468719     0
     3      53         20468710         20468719     0
     3      12         20468735         20468744     0
     3      28         20468735         20468744     0
     3      44         20468735         20468744     0
     3      60         20468735         20468744     0
     3       3         20468760         20468769     0
     3      19         20468760         20468769     0
     3      35         20468760         20468769     0
     3      51         20468760         20468769     0
     3      10         20468785         20468794     0
     3      26         20468785         20468794     0
     3      42         20468785         20468794     0
     3      58         20468785         20468794     0
     3       1         20468810         20468819     0
     3      17         20468810         20468819     0
     3      33         20468810         20468819     0
     3      49         20468810         20468819     0
     3       8         20468835         20468844     0
     3      24         20468835         20468844     0
     3      40         20468835         20468844     0
     3      56         20468835         20468844     0
     3      15         20468860         20468869     0
     3      31         20468860         20468869     0
     3      47         20468860         20468869     0
     3      63         20468860         20468869     0
     3       6         20468885         20468894     0
     3      22         20468885         20468894     0
     3      38         20468885         20468894     0
     3      54         20468885         20468894     0
     3      13         20468910         20468919     0
     3      29         20468910         20468919     0
     3      45         20468910         20468919     0
     3      61         20468910         20468919     0
     3       4         20468935         20468944     0
     3      20         20468935         20468944     0
     3      36         20468935         20468944     0
     3      52         20468935         20468944     0
     3      11         20468960         20468969     0
     3      27         20468960         20468969     0
     3      43         20468960         20468969     0
     3      59         20468960         20468969     0
     3       2         20468985         20468994     0
     3      18         20468985         20468994     0
     3      34         20468985         20468994     0
     3      50         20468985         20468994     0
     3       9         20469010         20469019     0
     3      25         20469010         20469019     0
     3      41         20469010         20469019     0
     3      57         20469010         20469019     0
     4       0         20469035         20469044     0
     4      16         20469035         20469044     0
     4      32         20469035         20469044     0
     4      48         20469035         20469044     0
     4       7         20469060         20469069     0
     4      23         20469060         20469069     0
     4      39         20469060         20469069     0
     4      55         20469060         20469069     0
     4      14         20469085         20469094     0
     4      30         20469085         20469094     0
     4      46         20469085         20469094     0
     4      62         20469085         20469094     0
     4       5         20469110         20469119     0
     4      21         20469110         20469119     0
     4      37         20469110         20469119     0
     4      53         20469110         20469119     0
     4      12         20469135         20469144     0
     4      28         20469135         20469144     0
     4      44         20469135         20469144     0
     4      60         20469135         20469144     0
     4       3         20469160         20469169     0
     4      19         20469160         20469169     0
     4      35         20469160         20469169     0
     4      51         20469160         20469169     0
     4      10         20469185         20469194     0
     4      26         20469185         20469194     0
     4      42         20469185         20469194     0
     4      58         20469185         20469194     0
     4       1         20469210         20469219     0
     4      17         20469210         20469219     0
     4      33         20469210         20469219     0
     4      49         20469210         20469219     0
     4       8         20469235         20469244     0
     4      24         20469235         20469244     0
     4      40         20469235         20469244     0
     4      56         20469235         20469244     0
     4      15         20469260         20469269     0
     4      31         20469260         20469269     0
     4      47         20469260         20469269     0
     4      63         20469260         20469269     0
     4       6         20469285         20469294     0
     4      22         20469285         20469294     0
     4      38         20469285         20469294     0
     4      54         20469285         20469294     0
     4      13         20469310         20469319     0
     4      29         20469310         20469319     0
     4      45         20469310         20469319     0
     4      61         20469310         20469319     0
     4       4         20469335         20469344     0
     4      20         20469335         20469344     0
     4      36         20469335         20469344     0
     4      52         20469335         20469344     0
