UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ECG
SampleTime  = 1

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20743603     ECG1   3584 
     20743604     ECG1   3584 
     20743605     ECG1   3584 
     20743606     ECG1   3584 
     20743607     ECG1   3584 
     20743608     ECG1   3584 
     20743609     ECG1   3584 
     20743610     ECG1   3584 
     20743611     ECG1   3584 
     20743612     ECG1   3584 
     20743613     ECG1   3584 
     20743614     ECG1   3584 
     20743615     ECG1   3584 
     20743616     ECG1   3584 
     20743617     ECG1   3584 
     20743618     ECG1   3584 
     20743619     ECG1   3584 
     20743620     ECG1   3584 
     20743621     ECG1   3584 
     20743622     ECG1   3584 
     20743623     ECG1   3584 
     20743603     ECG2    605 
     20743604     ECG2    605 
     20743605     ECG2    605 
     20743606     ECG2    605 
     20743607     ECG2    605 
     20743608     ECG2    605 
     20743609     ECG2    605 
     20743610     ECG2    605 
     20743611     ECG2    605 
     20743612     ECG2    605 
     20743613     ECG2    605 
     20743614     ECG2    605 
     20743615     ECG2    605 
     20743616     ECG2    605 
     20743617     ECG2    605 
     20743618     ECG2    605 
     20743619     ECG2    605 
     20743620     ECG2    605 
     20743621     ECG2    605 
     20743622     ECG2    605 
     20743623     ECG2    605 
     20743603     ECG3   2932 
     20743604     ECG3   2932 
     20743605     ECG3   2932 
     20743606     ECG3   2932 
     20743607     ECG3   2932 
     20743608     ECG3   2932 
     20743609     ECG3   2932 
     20743610     ECG3   2932 
     20743611     ECG3   2932 
     20743612     ECG3   2932 
     20743613     ECG3   2932 
     20743614     ECG3   2932 
     20743615     ECG3   2932 
     20743616     ECG3   2932 
     20743617     ECG3   2932 
     20743618     ECG3   2932 
     20743619     ECG3   2932 
     20743620     ECG3   2932 
     20743621     ECG3   2932 
     20743622     ECG3   2932 
     20743623     ECG3   2932 
     20743603     ECG4   2831 
     20743604     ECG4   2831 
     20743605     ECG4   2831 
     20743606     ECG4   2831 
     20743607     ECG4   2831 
     20743608     ECG4   2831 
     20743609     ECG4   2831 
     20743610     ECG4   2831 
     20743611     ECG4   2831 
     20743612     ECG4   2831 
     20743613     ECG4   2831 
     20743614     ECG4   2831 
     20743615     ECG4   2831 
     20743616     ECG4   2831 
     20743617     ECG4   2831 
     20743618     ECG4   2831 
     20743619     ECG4   2831 
     20743620     ECG4   2831 
     20743621     ECG4   2831 
     20743622     ECG4   2831 
     20743623     ECG4   2831 
     20743624     ECG1   3584 
     20743625     ECG1   3584 
     20743626     ECG1   3584 
     20743627     ECG1   3584 
     20743628     ECG1   3584 
     20743629     ECG1   3584 
     20743630     ECG1   3584 
     20743631     ECG1   3584 
     20743632     ECG1   3584 
     20743633     ECG1   3584 
     20743634     ECG1   3584 
     20743635     ECG1   3584 
     20743636     ECG1   3584 
     20743637     ECG1   3584 
     20743638     ECG1   3584 
     20743639     ECG1   3584 
     20743640     ECG1   3584 
     20743641     ECG1   3584 
     20743642     ECG1   3584 
     20743643     ECG1   3584 
     20743644     ECG1   3584 
     20743645     ECG1   3584 
     20743646     ECG1   3584 
     20743647     ECG1   3584 
     20743648     ECG1   3584 
     20743649     ECG1   3584 
     20743650     ECG1   3584 
     20743651     ECG1   3584 
     20743652     ECG1   3584 
     20743653     ECG1   3584 
     20743654     ECG1   3584 
     20743655     ECG1   3584 
     20743656     ECG1   3584 
     20743657     ECG1   3584 
     20743658     ECG1   3584 
     20743659     ECG1   3584 
     20743660     ECG1   3584 
     20743661     ECG1   3584 
     20743662     ECG1   3584 
     20743663     ECG1   3584 
     20743624     ECG2    605 
     20743625     ECG2    605 
     20743626     ECG2    605 
     20743627     ECG2    605 
     20743628     ECG2    605 
     20743629     ECG2    605 
     20743630     ECG2    605 
     20743631     ECG2    605 
     20743632     ECG2    605 
     20743633     ECG2    605 
     20743634     ECG2    605 
     20743635     ECG2    605 
     20743636     ECG2    605 
     20743637     ECG2    605 
     20743638     ECG2    605 
     20743639     ECG2    605 
     20743640     ECG2    605 
     20743641     ECG2    605 
     20743642     ECG2    605 
     20743643     ECG2    605 
     20743644     ECG2    605 
     20743645     ECG2    605 
     20743646     ECG2    605 
     20743647     ECG2    605 
     20743648     ECG2    605 
     20743649     ECG2    605 
     20743650     ECG2    605 
     20743651     ECG2    605 
     20743652     ECG2    605 
     20743653     ECG2    605 
     20743654     ECG2    605 
     20743655     ECG2    605 
     20743656     ECG2    605 
     20743657     ECG2    605 
     20743658     ECG2    605 
     20743659     ECG2    605 
     20743660     ECG2    605 
     20743661     ECG2    605 
     20743662     ECG2    605 
     20743663     ECG2    605 
     20743624     ECG3   2932 
     20743625     ECG3   2932 
     20743626     ECG3   2932 
     20743627     ECG3   2932 
     20743628     ECG3   2932 
     20743629     ECG3   2932 
     20743630     ECG3   2932 
     20743631     ECG3   2932 
     20743632     ECG3   2932 
     20743633     ECG3   2932 
     20743634     ECG3   2932 
     20743635     ECG3   2932 
     20743636     ECG3   2932 
     20743637     ECG3   2932 
     20743638     ECG3   2932 
     20743639     ECG3   2932 
     20743640     ECG3   2932 
     20743641     ECG3   2932 
     20743642     ECG3   2932 
     20743643     ECG3   2932 
     20743644     ECG3   2932 
     20743645     ECG3   2932 
     20743646     ECG3   2932 
     20743647     ECG3   2932 
     20743648     ECG3   2932 
     20743649     ECG3   2932 
     20743650     ECG3   2932 
     20743651     ECG3   2932 
     20743652     ECG3   2932 
     20743653     ECG3   2932 
     20743654     ECG3   2932 
     20743655     ECG3   2932 
     20743656     ECG3   2932 
     20743657     ECG3   2932 
     20743658     ECG3   2932 
     20743659     ECG3   2932 
     20743660     ECG3   2932 
     20743661     ECG3   2932 
     20743662     ECG3   2932 
     20743663     ECG3   2932 
     20743624     ECG4   2831 
     20743625     ECG4   2831 
     20743626     ECG4   2831 
     20743627     ECG4   2831 
     20743628     ECG4   2831 
     20743629     ECG4   2831 
     20743630     ECG4   2831 
     20743631     ECG4   2831 
     20743632     ECG4   2831 
     20743633     ECG4   2831 
     20743634     ECG4   2831 
     20743635     ECG4   2831 
     20743636     ECG4   2831 
     20743637     ECG4   2831 
     20743638     ECG4   2831 
     20743639     ECG4   2831 
     20743640     ECG4   2831 
     20743641     ECG4   2831 
     20743642     ECG4   2831 
     20743643     ECG4   2831 
     20743644     ECG4   2831 
     20743645     ECG4   2831 
     20743646     ECG4   2831 
     20743647     ECG4   2831 
     20743648     ECG4   2831 
     20743649     ECG4   2831 
     20743650     ECG4   2831 
     20743651     ECG4   2831 
     20743652     ECG4   2831 
     20743653     ECG4   2831 
     20743654     ECG4   2831 
     20743655     ECG4   2831 
     20743656     ECG4   2831 
     20743657     ECG4   2831 
     20743658     ECG4   2831 
     20743659     ECG4   2831 
     20743660     ECG4   2831 
     20743661     ECG4   2831 
     20743662     ECG4   2831 
     20743663     ECG4   2831 
     20743664     ECG1   3584 
     20743665     ECG1   3584 
     20743666     ECG1   3584 
     20743667     ECG1   3584 
     20743668     ECG1   3584 
     20743664     ECG2    605 
     20743665     ECG2    605 
     20743666     ECG2    605 
     20743667     ECG2    605 
     20743668     ECG2    605 
     20743664     ECG3   2932 
     20743665     ECG3   2932 
     20743666     ECG3   2932 
     20743667     ECG3   2932 
     20743668     ECG3   2932 
     20743664     ECG4   2831 
     20743665     ECG4   2831 
     20743666     ECG4   2831 
     20743667     ECG4   2831 
     20743668     ECG4   2831 
     20743878     ECG1   3584 
     20743879     ECG1   3584 
     20743880     ECG1   3584 
     20743881     ECG1   3584 
     20743882     ECG1   3584 
     20743883     ECG1   3584 
     20743884     ECG1   3584 
     20743885     ECG1   3584 
     20743886     ECG1   3584 
     20743887     ECG1   3584 
     20743888     ECG1   3584 
     20743889     ECG1   3584 
     20743890     ECG1   3584 
     20743891     ECG1   3584 
     20743892     ECG1   3584 
     20743893     ECG1   3584 
     20743894     ECG1   3584 
     20743895     ECG1   3584 
     20743896     ECG1   3584 
     20743897     ECG1   3584 
     20743898     ECG1   3584 
     20743899     ECG1   3584 
     20743900     ECG1   3584 
     20743901     ECG1   3584 
     20743902     ECG1   3584 
     20743903     ECG1   3584 
     20743878     ECG2    605 
     20743879     ECG2    605 
     20743880     ECG2    605 
     20743881     ECG2    605 
     20743882     ECG2    605 
     20743883     ECG2    605 
     20743884     ECG2    605 
     20743885     ECG2    605 
     20743886     ECG2    605 
     20743887     ECG2    605 
     20743888     ECG2    605 
     20743889     ECG2    605 
     20743890     ECG2    605 
     20743891     ECG2    605 
     20743892     ECG2    605 
     20743893     ECG2    605 
     20743894     ECG2    605 
     20743895     ECG2    605 
     20743896     ECG2    605 
     20743897     ECG2    605 
     20743898     ECG2    605 
     20743899     ECG2    605 
     20743900     ECG2    605 
     20743901     ECG2    605 
     20743902     ECG2    605 
     20743903     ECG2    605 
     20743878     ECG3   2932 
     20743879     ECG3   2932 
     20743880     ECG3   2932 
     20743881     ECG3   2932 
     20743882     ECG3   2932 
     20743883     ECG3   2932 
     20743884     ECG3   2932 
     20743885     ECG3   2932 
     20743886     ECG3   2932 
     20743887     ECG3   2932 
     20743888     ECG3   2932 
     20743889     ECG3   2932 
     20743890     ECG3   2932 
     20743891     ECG3   2932 
     20743892     ECG3   2932 
     20743893     ECG3   2932 
     20743894     ECG3   2932 
     20743895     ECG3   2932 
     20743896     ECG3   2932 
     20743897     ECG3   2932 
     20743898     ECG3   2932 
     20743899     ECG3   2932 
     20743900     ECG3   2932 
     20743901     ECG3   2932 
     20743902     ECG3   2932 
     20743903     ECG3   2932 
     20743878     ECG4   2831 
     20743879     ECG4   2831 
     20743880     ECG4   2831 
     20743881     ECG4   2831 
     20743882     ECG4   2831 
     20743883     ECG4   2831 
     20743884     ECG4   2831 
     20743885     ECG4   2831 
     20743886     ECG4   2831 
     20743887     ECG4   2831 
     20743888     ECG4   2831 
     20743889     ECG4   2831 
     20743890     ECG4   2831 
     20743891     ECG4   2831 
     20743892     ECG4   2831 
     20743893     ECG4   2831 
     20743894     ECG4   2831 
     20743895     ECG4   2831 
     20743896     ECG4   2831 
     20743897     ECG4   2831 
     20743898     ECG4   2831 
     20743899     ECG4   2831 
     20743900     ECG4   2831 
     20743901     ECG4   2831 
     20743902     ECG4   2831 
     20743903     ECG4   2831 
     20743904     ECG1   3584 
     20743905     ECG1   3584 
     20743906     ECG1   3584 
     20743907     ECG1   3584 
     20743908     ECG1   3584 
     20743909     ECG1   3584 
     20743910     ECG1   3584 
     20743911     ECG1   3584 
     20743912     ECG1   3584 
     20743913     ECG1   3584 
     20743914     ECG1   3584 
     20743915     ECG1   3584 
     20743916     ECG1   3584 
     20743917     ECG1   3584 
     20743918     ECG1   3584 
     20743919     ECG1   3584 
     20743920     ECG1   3584 
     20743921     ECG1   3584 
     20743922     ECG1   3584 
     20743923     ECG1   3584 
     20743924     ECG1   3584 
     20743925     ECG1   3584 
     20743926     ECG1   3584 
     20743927     ECG1   3584 
     20743928     ECG1   3584 
     20743929     ECG1   3584 
     20743930     ECG1   3584 
     20743931     ECG1   3584 
     20743932     ECG1   3584 
     20743933     ECG1   3584 
     20743934     ECG1   3584 
     20743935     ECG1   3584 
     20743936     ECG1   3584 
     20743937     ECG1   3584 
     20743938     ECG1   3584 
     20743939     ECG1   3584 
     20743940     ECG1   3584 
     20743941     ECG1   3584 
