UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20725385     PULS   1930 
     20725387     PULS   1915 
     20725389     PULS   1900 
     20725391     PULS   1871 
     20725393     PULS   1841 
     20725395     PULS   1841 
     20725397     PULS   1826 
     20725399     PULS   1826 
     20725401     PULS   1812 
     20725403     PULS   1812 
     20725405     PULS   1826 
     20725407     PULS   1812 
     20725409     PULS   1812 
     20725411     PULS   1812 
     20725413     PULS   1812 
     20725415     PULS   1812 
     20725417     PULS   1812 
     20725419     PULS   1826 
     20725421     PULS   1826 
     20725423     PULS   1841 
     20725424     PULS   1856 
     20725426     PULS   1841 
     20725428     PULS   1871 
     20725430     PULS   1885 
     20725432     PULS   1930 
     20725434     PULS   1974 
     20725436     PULS   2018 
     20725438     PULS   2062 
     20725440     PULS   2136 
     20725442     PULS   2195 
     20725444     PULS   2254 
     20725446     PULS   2298 
     20725448     PULS   2357 
     20725450     PULS   2402 
     20725452     PULS   2431 
     20725454     PULS   2446 
     20725456     PULS   2490 
     20725458     PULS   2505 
     20725460     PULS   2534 
     20725462     PULS   2564 
     20725464     PULS   2579 
     20725466     PULS   2593 
     20725468     PULS   2608 
     20725470     PULS   2623 
     20725472     PULS   2623 
     20725474     PULS   2608 
     20725476     PULS   2608 
     20725478     PULS   2579 
     20725480     PULS   2564 
     20725482     PULS   2534 
     20725484     PULS   2490 
     20725486     PULS   2461 
     20725488     PULS   2416 
     20725490     PULS   2402 
     20725492     PULS   2387 
     20725494     PULS   2402 
     20725496     PULS   2416 
     20725498     PULS   2416 
     20725500     PULS   2446 
     20725502     PULS   2446 
     20725491     PULS   2048  PULS_TRIGGER
     20725504     PULS   2446 
     20725506     PULS   2431 
     20725508     PULS   2431 
     20725510     PULS   2402 
     20725512     PULS   2387 
     20725514     PULS   2372 
     20725516     PULS   2357 
     20725518     PULS   2328 
     20725520     PULS   2313 
     20725522     PULS   2298 
     20725524     PULS   2269 
     20725526     PULS   2239 
     20725528     PULS   2239 
     20725530     PULS   2210 
     20725532     PULS   2195 
     20725534     PULS   2195 
     20725536     PULS   2195 
     20725538     PULS   2210 
     20725540     PULS   2195 
     20725542     PULS   2210 
     20725544     PULS   2210 
     20725546     PULS   2210 
     20725548     PULS   2210 
     20725550     PULS   2195 
     20725552     PULS   2195 
     20725554     PULS   2180 
     20725556     PULS   2180 
     20725558     PULS   2166 
     20725560     PULS   2166 
     20725562     PULS   2121 
     20725564     PULS   2107 
     20725566     PULS   2092 
     20725568     PULS   2077 
     20725570     PULS   2062 
     20725574     PULS   2033 
     20725576     PULS   2018 
     20725578     PULS   2003 
     20725580     PULS   2003 
     20725582     PULS   2003 
     20725584     PULS   2003 
     20725586     PULS   2003 
     20725588     PULS   2033 
     20725592     PULS   2077 
     20725594     PULS   2107 
     20725596     PULS   2121 
     20725598     PULS   2136 
     20725600     PULS   2136 
     20725602     PULS   2121 
     20725604     PULS   2121 
     20725606     PULS   2121 
     20725608     PULS   2107 
     20725610     PULS   2107 
     20725612     PULS   2077 
     20725614     PULS   2062 
     20725616     PULS   2062 
     20725624     PULS   2062 
     20725626     PULS   2077 
     20725628     PULS   2062 
     20725630     PULS   2062 
     20725632     PULS   2062 
     20725634     PULS   2062 
     20725636     PULS   2062 
     20725638     PULS   2062 
     20725640     PULS   2062 
     20725642     PULS   2062 
     20725644     PULS   2062 
     20725646     PULS   2077 
     20725648     PULS   2077 
     20725650     PULS   2062 
     20725652     PULS   2062 
     20725654     PULS   2062 
     20725658     PULS   2003 
     20725660     PULS   1989 
     20725662     PULS   1944 
     20725664     PULS   1930 
     20725666     PULS   1885 
     20725668     PULS   1856 
     20725670     PULS   1826 
     20725672     PULS   1797 
     20725674     PULS   1782 
     20725676     PULS   1753 
     20725678     PULS   1738 
     20725680     PULS   1723 
     20725682     PULS   1723 
     20725684     PULS   1738 
     20725686     PULS   1753 
     20725688     PULS   1738 
     20725690     PULS   1738 
     20725692     PULS   1738 
     20725694     PULS   1738 
     20725696     PULS   1753 
     20725698     PULS   1767 
     20725700     PULS   1797 
     20725702     PULS   1797 
     20725704     PULS   1812 
     20725706     PULS   1826 
     20725708     PULS   1841 
     20725710     PULS   1871 
     20725712     PULS   1900 
     20725714     PULS   1915 
     20725716     PULS   1944 
     20725718     PULS   1959 
     20725720     PULS   1959 
     20725722     PULS   1974 
     20725724     PULS   2003 
     20725726     PULS   2018 
     20725728     PULS   2033 
     20725732     PULS   2092 
     20725734     PULS   2121 
     20725736     PULS   2151 
     20725738     PULS   2180 
     20725740     PULS   2210 
     20725742     PULS   2225 
     20725744     PULS   2269 
     20725746     PULS   2298 
     20725748     PULS   2343 
     20725750     PULS   2372 
     20725752     PULS   2402 
     20725754     PULS   2431 
     20725756     PULS   2461 
     20725758     PULS   2475 
     20725760     PULS   2520 
     20725762     PULS   2549 
     20725764     PULS   2564 
     20725766     PULS   2593 
     20725768     PULS   2608 
     20725770     PULS   2608 
     20725772     PULS   2608 
     20725774     PULS   2608 
     20725776     PULS   2593 
     20725778     PULS   2593 
     20725780     PULS   2579 
     20725782     PULS   2564 
     20725784     PULS   2549 
     20725786     PULS   2549 
     20725788     PULS   2549 
     20725790     PULS   2564 
     20725792     PULS   2564 
     20725794     PULS   2564 
     20725796     PULS   2579 
     20725798     PULS   2579 
     20725800     PULS   2579 
     20725802     PULS   2564 
     20725804     PULS   2534 
     20725806     PULS   2505 
     20725808     PULS   2475 
     20725810     PULS   2446 
     20725812     PULS   2416 
     20725814     PULS   2387 
     20725816     PULS   2357 
     20725818     PULS   2328 
     20725820     PULS   2313 
     20725822     PULS   2284 
     20725795     PULS   2048  PULS_TRIGGER
     20725824     PULS   2269 
     20725826     PULS   2239 
     20725828     PULS   2239 
     20725830     PULS   2239 
     20725832     PULS   2239 
     20725834     PULS   2225 
     20725836     PULS   2225 
     20725838     PULS   2195 
     20725840     PULS   2180 
     20725842     PULS   2166 
     20725844     PULS   2151 
     20725846     PULS   2136 
     20725848     PULS   2121 
     20725850     PULS   2121 
     20725852     PULS   2121 
     20725854     PULS   2121 
     20725856     PULS   2136 
     20725858     PULS   2107 
     20725860     PULS   2107 
     20725862     PULS   2092 
     20725864     PULS   2077 
     20725866     PULS   2062 
     20725868     PULS   2033 
     20725870     PULS   2003 
     20725872     PULS   1989 
     20725874     PULS   1959 
     20725876     PULS   1944 
     20725878     PULS   1915 
     20725880     PULS   1900 
     20725882     PULS   1885 
     20725884     PULS   1885 
     20725886     PULS   1885 
     20725888     PULS   1900 
     20725890     PULS   1930 
     20725892     PULS   1959 
     20725894     PULS   1989 
     20725896     PULS   2003 
     20725898     PULS   2033 
     20725906     PULS   2062 
     20725914     PULS   2033 
     20725916     PULS   2018 
     20725918     PULS   2018 
     20725920     PULS   2018 
     20725922     PULS   2018 
     20725924     PULS   2003 
     20725926     PULS   2003 
     20725928     PULS   2003 
     20725930     PULS   2003 
     20725932     PULS   1989 
     20725934     PULS   1989 
     20725936     PULS   1974 
     20725938     PULS   1974 
     20725940     PULS   1959 
     20725942     PULS   1944 
     20725944     PULS   1944 
     20725946     PULS   1944 
     20725948     PULS   1930 
     20725950     PULS   1930 
     20725952     PULS   1944 
     20725954     PULS   1959 
     20725956     PULS   1959 
     20725958     PULS   1989 
     20725960     PULS   2003 
     20725962     PULS   2033 
     20725966     PULS   2077 
     20725968     PULS   2077 
     20725970     PULS   2077 
     20725972     PULS   2077 
     20725974     PULS   2062 
     20725978     PULS   2033 
     20725980     PULS   2003 
     20725982     PULS   1989 
     20725984     PULS   1974 
     20725986     PULS   1974 
     20725988     PULS   1959 
     20725990     PULS   1959 
     20725992     PULS   1959 
     20725994     PULS   1959 
     20725996     PULS   1974 
     20725998     PULS   1989 
     20726000     PULS   1974 
     20726002     PULS   1959 
     20726004     PULS   1944 
     20726006     PULS   1930 
     20726008     PULS   1915 
     20726010     PULS   1915 
     20726012     PULS   1915 
     20726014     PULS   1915 
     20726016     PULS   1930 
     20726018     PULS   1930 
     20726020     PULS   1959 
     20726022     PULS   1974 
     20726024     PULS   2003 
     20726026     PULS   2018 
     20726030     PULS   2062 
     20726032     PULS   2107 
     20726034     PULS   2136 
     20726036     PULS   2166 
     20726038     PULS   2210 
     20726040     PULS   2225 
     20726042     PULS   2239 
     20726044     PULS   2269 
     20726046     PULS   2298 
     20726048     PULS   2313 
     20726050     PULS   2343 
     20726052     PULS   2372 
     20726054     PULS   2402 
     20726056     PULS   2416 
     20726058     PULS   2416 
     20726060     PULS   2431 
     20726062     PULS   2431 
     20726064     PULS   2446 
     20726066     PULS   2446 
     20726068     PULS   2446 
     20726070     PULS   2461 
     20726072     PULS   2475 
     20726074     PULS   2475 
     20726076     PULS   2490 
     20726078     PULS   2520 
     20726080     PULS   2520 
     20726082     PULS   2534 
     20726084     PULS   2534 
     20726086     PULS   2520 
     20726088     PULS   2505 
     20726090     PULS   2490 
     20726092     PULS   2475 
     20726094     PULS   2461 
     20726096     PULS   2446 
     20726098     PULS   2461 
     20726100     PULS   2461 
     20726102     PULS   2461 
     20726101     PULS   2048  PULS_TRIGGER
     20726104     PULS   2461 
     20726106     PULS   2461 
     20726108     PULS   2446 
     20726110     PULS   2402 
     20726112     PULS   2387 
     20726114     PULS   2357 
     20726116     PULS   2298 
     20726118     PULS   2284 
     20726120     PULS   2254 
     20726122     PULS   2239 
     20726124     PULS   2225 
     20726126     PULS   2210 
     20726128     PULS   2210 
     20726130     PULS   2210 
     20726132     PULS   2225 
     20726134     PULS   2210 
     20726136     PULS   2225 
     20726138     PULS   2210 
     20726140     PULS   2210 
     20726142     PULS   2210 
     20726144     PULS   2210 
     20726146     PULS   2210 
     20726148     PULS   2210 
     20726150     PULS   2195 
     20726152     PULS   2180 
     20726154     PULS   2166 
     20726156     PULS   2151 
     20726158     PULS   2136 
     20726160     PULS   2136 
     20726162     PULS   2121 
     20726164     PULS   2107 
     20726166     PULS   2107 
     20726168     PULS   2092 
     20726170     PULS   2092 
     20726172     PULS   2092 
     20726174     PULS   2092 
     20726176     PULS   2077 
     20726178     PULS   2077 
     20726180     PULS   2062 
     20726182     PULS   2077 
     20726184     PULS   2062 
     20726186     PULS   2062 
     20726188     PULS   2077 
     20726190     PULS   2092 
     20726192     PULS   2107 
     20726194     PULS   2121 
     20726196     PULS   2121 
     20726198     PULS   2136 
     20726200     PULS   2121 
     20726202     PULS   2121 
     20726204     PULS   2107 
     20726206     PULS   2092 
     20726208     PULS   2092 
     20726210     PULS   2092 
     20726212     PULS   2092 
     20726214     PULS   2092 
     20726216     PULS   2092 
     20726218     PULS   2107 
     20726220     PULS   2121 
     20726222     PULS   2121 
     20726224     PULS   2121 
     20726226     PULS   2121 
     20726228     PULS   2136 
     20726230     PULS   2136 
     20726232     PULS   2121 
     20726234     PULS   2121 
     20726236     PULS   2121 
     20726238     PULS   2121 
     20726240     PULS   2092 
     20726242     PULS   2077 
     20726246     PULS   2018 
     20726248     PULS   2003 
     20726250     PULS   1989 
     20726252     PULS   1974 
     20726254     PULS   1974 
     20726256     PULS   1959 
     20726258     PULS   1959 
     20726260     PULS   1944 
     20726262     PULS   1915 
     20726264     PULS   1915 
