UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20725385     RESP   1752 
     20725393     RESP   1739 
     20725401     RESP   1726 
     20725409     RESP   1715 
     20725417     RESP   1703 
     20725424     RESP   1694 
     20725432     RESP   1685 
     20725440     RESP   1679 
     20725448     RESP   1673 
     20725456     RESP   1666 
     20725464     RESP   1660 
     20725472     RESP   1654 
     20725480     RESP   1649 
     20725488     RESP   1645 
     20725496     RESP   1640 
     20725504     RESP   1635 
     20725512     RESP   1631 
     20725520     RESP   1625 
     20725528     RESP   1619 
     20725536     RESP   1613 
     20725544     RESP   1606 
     20725552     RESP   1599 
     20725560     RESP   1593 
     20725568     RESP   1587 
     20725576     RESP   1582 
     20725584     RESP   1577 
     20725592     RESP   1573 
     20725600     RESP   1570 
     20725608     RESP   1568 
     20725616     RESP   1566 
     20725624     RESP   1565 
     20725632     RESP   1565 
     20725640     RESP   1567 
     20725648     RESP   1569 
     20725656     RESP   1572 
     20725664     RESP   1577 
     20725672     RESP   1580 
     20725680     RESP   1585 
     20725688     RESP   1591 
     20725696     RESP   1600 
     20725704     RESP   1610 
     20725712     RESP   1622 
     20725720     RESP   1636 
     20725728     RESP   1654 
     20725736     RESP   1673 
     20725744     RESP   1694 
     20725752     RESP   1717 
     20725760     RESP   1743 
     20725768     RESP   1772 
     20725776     RESP   1803 
     20725784     RESP   1836 
     20725792     RESP   1871 
     20725800     RESP   1906 
     20725808     RESP   1941 
     20725816     RESP   1975 
     20725824     RESP   2009 
     20725832     RESP   2043 
     20725840     RESP   2076 
     20725848     RESP   2109 
     20725856     RESP   2144 
     20725864     RESP   2179 
     20725872     RESP   2214 
     20725880     RESP   2249 
     20725888     RESP   2283 
     20725896     RESP   2318 
     20725904     RESP   2353 
     20725912     RESP   2388 
     20725920     RESP   2423 
     20725928     RESP   2459 
     20725936     RESP   2494 
     20725944     RESP   2529 
     20725952     RESP   2563 
     20725960     RESP   2594 
     20725968     RESP   2625 
     20725976     RESP   2654 
     20725984     RESP   2682 
     20725992     RESP   2710 
     20726000     RESP   2738 
     20726008     RESP   2768 
     20726016     RESP   2797 
     20726024     RESP   2827 
     20726032     RESP   2858 
     20726040     RESP   2890 
     20726048     RESP   2921 
     20726056     RESP   2955 
     20726064     RESP   2988 
     20726072     RESP   3023 
     20726080     RESP   3056 
     20726088     RESP   3089 
     20726096     RESP   3121 
     20726104     RESP   3149 
     20726112     RESP   3174 
     20726120     RESP   3195 
     20726128     RESP   3212 
     20726136     RESP   3226 
     20726144     RESP   3235 
     20726152     RESP   3240 
     20726160     RESP   3240 
     20726168     RESP   3235 
     20726176     RESP   3226 
     20726184     RESP   3214 
     20726192     RESP   3197 
     20726200     RESP   3178 
     20726208     RESP   3157 
     20726216     RESP   3133 
     20726224     RESP   3108 
     20726232     RESP   3081 
     20726240     RESP   3053 
     20726248     RESP   3024 
     20726256     RESP   2995 
     20726264     RESP   2964 
     20726272     RESP   2933 
     20726280     RESP   2902 
     20726288     RESP   2871 
     20726296     RESP   2841 
     20726304     RESP   2811 
     20726312     RESP   2781 
     20726320     RESP   2752 
     20726328     RESP   2724 
     20726336     RESP   2697 
     20726344     RESP   2670 
     20726352     RESP   2644 
     20726360     RESP   2619 
     20726368     RESP   2596 
     20726376     RESP   2573 
     20726384     RESP   2551 
     20726392     RESP   2530 
     20726400     RESP   2508 
     20726408     RESP   2486 
     20726416     RESP   2463 
     20726424     RESP   2441 
     20726432     RESP   2418 
     20726440     RESP   2395 
     20726448     RESP   2373 
     20726456     RESP   2350 
     20726464     RESP   2327 
     20726472     RESP   2303 
     20726480     RESP   2279 
     20726488     RESP   2254 
     20726496     RESP   2230 
     20726504     RESP   2205 
     20726512     RESP   2181 
     20726520     RESP   2157 
     20726528     RESP   2134 
     20726536     RESP   2111 
     20726544     RESP   2087 
     20726552     RESP   2063 
     20726560     RESP   2041 
     20726568     RESP   2019 
     20726576     RESP   1997 
     20726584     RESP   1976 
     20726592     RESP   1955 
     20726600     RESP   1934 
     20726608     RESP   1915 
     20726616     RESP   1898 
     20726624     RESP   1881 
     20726632     RESP   1864 
     20726640     RESP   1850 
     20726648     RESP   1835 
     20726656     RESP   1822 
     20726664     RESP   1808 
     20726672     RESP   1795 
     20726680     RESP   1782 
     20726688     RESP   1770 
     20726696     RESP   1759 
     20726704     RESP   1747 
     20726712     RESP   1736 
     20726720     RESP   1724 
     20726728     RESP   1712 
     20726736     RESP   1700 
     20726744     RESP   1689 
     20726752     RESP   1677 
     20726760     RESP   1668 
     20726768     RESP   1658 
     20726776     RESP   1649 
     20726784     RESP   1641 
     20726792     RESP   1633 
     20726800     RESP   1626 
     20726808     RESP   1621 
     20726816     RESP   1617 
     20726824     RESP   1614 
     20726832     RESP   1612 
     20726840     RESP   1611 
     20726848     RESP   1611 
     20726856     RESP   1613 
     20726864     RESP   1616 
     20726872     RESP   1619 
     20726880     RESP   1625 
     20726888     RESP   1631 
     20726896     RESP   1640 
     20726904     RESP   1649 
     20726912     RESP   1659 
     20726920     RESP   1670 
     20726928     RESP   1683 
     20726936     RESP   1697 
     20726944     RESP   1713 
     20726952     RESP   1731 
     20726960     RESP   1751 
     20726968     RESP   1772 
     20726976     RESP   1794 
     20726984     RESP   1817 
     20726992     RESP   1842 
     20727000     RESP   1868 
     20727008     RESP   1894 
     20727016     RESP   1922 
     20727024     RESP   1950 
     20727032     RESP   1978 
     20727040     RESP   2006 
     20727048     RESP   2034 
     20727056     RESP   2059 
     20727064     RESP   2086 
     20727072     RESP   2113 
     20727080     RESP   2140 
     20727088     RESP   2167 
     20727096     RESP   2195 
     20727104     RESP   2224 
     20727112     RESP   2254 
     20727120     RESP   2284 
     20727128     RESP   2314 
     20727136     RESP   2346 
     20727144     RESP   2378 
     20727152     RESP   2411 
     20727160     RESP   2445 
     20727168     RESP   2479 
     20727176     RESP   2514 
     20727184     RESP   2550 
     20727192     RESP   2585 
     20727200     RESP   2620 
     20727208     RESP   2654 
     20727216     RESP   2687 
     20727224     RESP   2719 
     20727232     RESP   2750 
     20727240     RESP   2782 
     20727248     RESP   2813 
     20727256     RESP   2843 
     20727264     RESP   2873 
     20727272     RESP   2902 
     20727280     RESP   2931 
     20727288     RESP   2960 
     20727296     RESP   2988 
     20727304     RESP   3016 
     20727312     RESP   3044 
     20727320     RESP   3072 
     20727328     RESP   3100 
     20727336     RESP   3126 
     20727344     RESP   3149 
     20727352     RESP   3171 
     20727360     RESP   3189 
     20727368     RESP   3204 
     20727376     RESP   3214 
     20727384     RESP   3221 
     20727392     RESP   3224 
     20727400     RESP   3224 
     20727408     RESP   3219 
     20727416     RESP   3210 
     20727424     RESP   3198 
     20727432     RESP   3181 
     20727440     RESP   3161 
     20727448     RESP   3139 
     20727456     RESP   3114 
     20727464     RESP   3088 
     20727472     RESP   3060 
     20727480     RESP   3032 
     20727488     RESP   3003 
     20727496     RESP   2972 
     20727504     RESP   2941 
     20727512     RESP   2908 
     20727520     RESP   2875 
     20727528     RESP   2841 
     20727536     RESP   2808 
     20727544     RESP   2775 
     20727552     RESP   2742 
     20727560     RESP   2710 
     20727568     RESP   2679 
     20727576     RESP   2647 
     20727584     RESP   2617 
     20727592     RESP   2587 
     20727600     RESP   2559 
     20727608     RESP   2531 
     20727616     RESP   2504 
     20727624     RESP   2477 
     20727632     RESP   2452 
     20727640     RESP   2428 
     20727648     RESP   2404 
     20727656     RESP   2380 
     20727664     RESP   2356 
     20727672     RESP   2331 
     20727680     RESP   2307 
     20727688     RESP   2283 
     20727696     RESP   2260 
     20727704     RESP   2237 
     20727712     RESP   2214 
     20727720     RESP   2192 
     20727728     RESP   2171 
     20727736     RESP   2150 
     20727744     RESP   2129 
     20727752     RESP   2108 
     20727760     RESP   2089 
     20727768     RESP   2070 
     20727776     RESP   2052 
     20727784     RESP   2035 
     20727792     RESP   2017 
     20727800     RESP   1999 
     20727808     RESP   1981 
     20727816     RESP   1963 
     20727824     RESP   1945 
     20727832     RESP   1927 
     20727840     RESP   1910 
     20727848     RESP   1892 
     20727856     RESP   1875 
     20727864     RESP   1857 
     20727872     RESP   1841 
     20727880     RESP   1825 
     20727888     RESP   1810 
     20727896     RESP   1797 
     20727904     RESP   1785 
     20727912     RESP   1774 
     20727920     RESP   1765 
     20727928     RESP   1756 
     20727936     RESP   1748 
     20727944     RESP   1742 
     20727952     RESP   1736 
     20727960     RESP   1732 
     20727968     RESP   1728 
     20727976     RESP   1724 
     20727984     RESP   1720 
     20727992     RESP   1715 
     20728000     RESP   1709 
     20728008     RESP   1702 
     20728016     RESP   1695 
     20728024     RESP   1688 
     20728032     RESP   1680 
     20728040     RESP   1672 
     20728048     RESP   1663 
     20728056     RESP   1654 
     20728064     RESP   1646 
     20728072     RESP   1638 
     20728080     RESP   1630 
     20728088     RESP   1624 
     20728096     RESP   1619 
     20728104     RESP   1615 
     20728112     RESP   1612 
     20728120     RESP   1610 
     20728128     RESP   1607 
     20728136     RESP   1605 
     20728144     RESP   1605 
     20728152     RESP   1606 
     20728160     RESP   1608 
     20728168     RESP   1611 
     20728176     RESP   1614 
     20728184     RESP   1617 
     20728192     RESP   1621 
     20728200     RESP   1626 
     20728208     RESP   1633 
     20728216     RESP   1641 
     20728224     RESP   1653 
     20728232     RESP   1667 
     20728240     RESP   1682 
     20728248     RESP   1699 
     20728256     RESP   1717 
     20728264     RESP   1737 
     20728272     RESP   1759 
     20728280     RESP   1782 
     20728288     RESP   1807 
     20728296     RESP   1833 
     20728304     RESP   1860 
     20728312     RESP   1887 
     20728320     RESP   1914 
     20728328     RESP   1941 
     20728336     RESP   1967 
     20728344     RESP   1995 
     20728352     RESP   2022 
     20728368     RESP   2076 
     20728376     RESP   2104 
     20728384     RESP   2133 
     20728392     RESP   2162 
     20728400     RESP   2190 
     20728408     RESP   2219 
     20728416     RESP   2247 
     20728424     RESP   2276 
     20728432     RESP   2304 
     20728440     RESP   2332 
     20728448     RESP   2359 
     20728456     RESP   2386 
     20728464     RESP   2413 
     20728472     RESP   2438 
     20728480     RESP   2463 
     20728488     RESP   2486 
     20728496     RESP   2510 
     20728504     RESP   2532 
     20728512     RESP   2554 
     20728520     RESP   2576 
     20728528     RESP   2598 
     20728536     RESP   2619 
     20728544     RESP   2640 
     20728552     RESP   2661 
     20728560     RESP   2682 
     20728568     RESP   2702 
     20728576     RESP   2722 
     20728584     RESP   2741 
     20728592     RESP   2759 
     20728600     RESP   2776 
     20728608     RESP   2790 
     20728616     RESP   2804 
     20728624     RESP   2815 
     20728632     RESP   2824 
     20728640     RESP   2829 
     20728648     RESP   2832 
     20728656     RESP   2830 
     20728664     RESP   2826 
     20728672     RESP   2819 
     20728680     RESP   2810 
     20728688     RESP   2798 
     20728696     RESP   2785 
     20728704     RESP   2770 
     20728712     RESP   2754 
     20728720     RESP   2736 
     20728728     RESP   2716 
     20728736     RESP   2696 
     20728744     RESP   2675 
     20728752     RESP   2654 
     20728760     RESP   2632 
     20728768     RESP   2610 
     20728776     RESP   2587 
     20728784     RESP   2564 
     20728792     RESP   2540 
     20728800     RESP   2514 
     20728808     RESP   2488 
     20728816     RESP   2461 
     20728824     RESP   2434 
