UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 540
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         20733417         20733427     0
     0      16         20733417         20733427     0
     0      32         20733417         20733427     0
     0      48         20733417         20733427     0
     0       7         20733442         20733452     0
     0      23         20733442         20733452     0
     0      39         20733442         20733452     0
     0      55         20733442         20733452     0
     0      14         20733467         20733477     0
     0      30         20733467         20733477     0
     0      46         20733467         20733477     0
     0      62         20733467         20733477     0
     0       5         20733492         20733502     0
     0      21         20733492         20733502     0
     0      37         20733492         20733502     0
     0      53         20733492         20733502     0
     0      12         20733517         20733527     0
     0      28         20733517         20733527     0
     0      44         20733517         20733527     0
     0      60         20733517         20733527     0
     0       3         20733542         20733552     0
     0      19         20733542         20733552     0
     0      35         20733542         20733552     0
     0      51         20733542         20733552     0
     0      10         20733567         20733577     0
     0      26         20733567         20733577     0
     0      42         20733567         20733577     0
     0      58         20733567         20733577     0
     0       1         20733592         20733602     0
     0      17         20733592         20733602     0
     0      33         20733592         20733602     0
     0      49         20733592         20733602     0
     0       8         20733617         20733627     0
     0      24         20733617         20733627     0
     0      40         20733617         20733627     0
     0      56         20733617         20733627     0
     0      15         20733642         20733652     0
     0      31         20733642         20733652     0
     0      47         20733642         20733652     0
     0      63         20733642         20733652     0
     0       6         20733667         20733677     0
     0      22         20733667         20733677     0
     0      38         20733667         20733677     0
     0      54         20733667         20733677     0
     0      13         20733692         20733702     0
     0      29         20733692         20733702     0
     0      45         20733692         20733702     0
     0      61         20733692         20733702     0
     0       4         20733717         20733727     0
     0      20         20733717         20733727     0
     0      36         20733717         20733727     0
     0      52         20733717         20733727     0
     0      11         20733742         20733752     0
     0      27         20733742         20733752     0
     0      43         20733742         20733752     0
     0      59         20733742         20733752     0
     0       2         20733767         20733777     0
     0      18         20733767         20733777     0
     0      34         20733767         20733777     0
     0      50         20733767         20733777     0
     0       9         20733792         20733802     0
     0      25         20733792         20733802     0
     0      41         20733792         20733802     0
     0      57         20733792         20733802     0
     1       0         20733817         20733827     0
     1      16         20733817         20733827     0
     1      32         20733817         20733827     0
     1      48         20733817         20733827     0
     1       7         20733842         20733852     0
     1      23         20733842         20733852     0
     1      39         20733842         20733852     0
     1      55         20733842         20733852     0
     1      14         20733867         20733877     0
     1      30         20733867         20733877     0
     1      46         20733867         20733877     0
     1      62         20733867         20733877     0
     1       5         20733892         20733902     0
     1      21         20733892         20733902     0
     1      37         20733892         20733902     0
     1      53         20733892         20733902     0
     1      12         20733917         20733927     0
     1      28         20733917         20733927     0
     1      44         20733917         20733927     0
     1      60         20733917         20733927     0
     1       3         20733942         20733952     0
     1      19         20733942         20733952     0
     1      35         20733942         20733952     0
     1      51         20733942         20733952     0
     1      10         20733967         20733977     0
     1      26         20733967         20733977     0
     1      42         20733967         20733977     0
     1      58         20733967         20733977     0
     1       1         20733992         20734002     0
     1      17         20733992         20734002     0
     1      33         20733992         20734002     0
     1      49         20733992         20734002     0
     1       8         20734017         20734027     0
     1      24         20734017         20734027     0
     1      40         20734017         20734027     0
     1      56         20734017         20734027     0
     1      15         20734042         20734052     0
     1      31         20734042         20734052     0
     1      47         20734042         20734052     0
     1      63         20734042         20734052     0
     1       6         20734067         20734077     0
     1      22         20734067         20734077     0
     1      38         20734067         20734077     0
     1      54         20734067         20734077     0
     1      13         20734092         20734102     0
     1      29         20734092         20734102     0
     1      45         20734092         20734102     0
     1      61         20734092         20734102     0
     1       4         20734117         20734127     0
     1      20         20734117         20734127     0
     1      36         20734117         20734127     0
     1      52         20734117         20734127     0
     1      11         20734142         20734152     0
     1      27         20734142         20734152     0
     1      43         20734142         20734152     0
     1      59         20734142         20734152     0
     1       2         20734167         20734177     0
     1      18         20734167         20734177     0
     1      34         20734167         20734177     0
     1      50         20734167         20734177     0
     1       9         20734192         20734202     0
     1      25         20734192         20734202     0
     1      41         20734192         20734202     0
     1      57         20734192         20734202     0
     2       0         20734217         20734227     0
     2      16         20734217         20734227     0
     2      32         20734217         20734227     0
     2      48         20734217         20734227     0
     2       7         20734242         20734252     0
     2      23         20734242         20734252     0
     2      39         20734242         20734252     0
     2      55         20734242         20734252     0
     2      14         20734267         20734277     0
     2      30         20734267         20734277     0
     2      46         20734267         20734277     0
     2      62         20734267         20734277     0
     2       5         20734292         20734302     0
     2      21         20734292         20734302     0
     2      37         20734292         20734302     0
     2      53         20734292         20734302     0
     2      12         20734317         20734327     0
     2      28         20734317         20734327     0
     2      44         20734317         20734327     0
     2      60         20734317         20734327     0
     2       3         20734342         20734352     0
     2      19         20734342         20734352     0
     2      35         20734342         20734352     0
     2      51         20734342         20734352     0
     2      10         20734367         20734377     0
     2      26         20734367         20734377     0
     2      42         20734367         20734377     0
     2      58         20734367         20734377     0
     2       1         20734392         20734402     0
     2      17         20734392         20734402     0
     2      33         20734392         20734402     0
