UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = ECG
SampleTime  = 1

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20272135     ECG1   3676 
     20272136     ECG1   3676 
     20272137     ECG1   3676 
     20272138     ECG1   3676 
     20272139     ECG1   3676 
     20272140     ECG1   3676 
     20272141     ECG1   3676 
     20272142     ECG1   3676 
     20272143     ECG1   3676 
     20272144     ECG1   3676 
     20272145     ECG1   3676 
     20272146     ECG1   3676 
     20272147     ECG1   3676 
     20272148     ECG1   3676 
     20272149     ECG1   3676 
     20272150     ECG1   3676 
     20272151     ECG1   3676 
     20272152     ECG1   3676 
     20272153     ECG1   3676 
     20272135     ECG2   3973 
     20272136     ECG2   3973 
     20272137     ECG2   3973 
     20272138     ECG2   3973 
     20272139     ECG2   3973 
     20272140     ECG2   3973 
     20272141     ECG2   3973 
     20272142     ECG2   3973 
     20272143     ECG2   3973 
     20272144     ECG2   3973 
     20272145     ECG2   3973 
     20272146     ECG2   3973 
     20272147     ECG2   3973 
     20272148     ECG2   3973 
     20272149     ECG2   3973 
     20272150     ECG2   3973 
     20272151     ECG2   3973 
     20272152     ECG2   3973 
     20272153     ECG2   3973 
     20272135     ECG3   1361 
     20272136     ECG3   1361 
     20272137     ECG3   1361 
     20272138     ECG3   1361 
     20272139     ECG3   1361 
     20272140     ECG3   1361 
     20272141     ECG3   1361 
     20272142     ECG3   1361 
     20272143     ECG3   1361 
     20272144     ECG3   1361 
     20272145     ECG3   1361 
     20272146     ECG3   1361 
     20272147     ECG3   1361 
     20272148     ECG3   1361 
     20272149     ECG3   1361 
     20272150     ECG3   1361 
     20272151     ECG3   1361 
     20272152     ECG3   1361 
     20272153     ECG3   1361 
     20272135     ECG4   2857 
     20272136     ECG4   2857 
     20272137     ECG4   2857 
     20272138     ECG4   2857 
     20272139     ECG4   2857 
     20272140     ECG4   2857 
     20272141     ECG4   2857 
     20272142     ECG4   2857 
     20272143     ECG4   2857 
     20272144     ECG4   2857 
     20272145     ECG4   2857 
     20272146     ECG4   2857 
     20272147     ECG4   2857 
     20272148     ECG4   2857 
     20272149     ECG4   2857 
     20272150     ECG4   2857 
     20272151     ECG4   2857 
     20272152     ECG4   2857 
     20272153     ECG4   2857 
     20272154     ECG1   3676 
     20272155     ECG1   3676 
     20272156     ECG1   3676 
     20272157     ECG1   3676 
     20272158     ECG1   3676 
     20272159     ECG1   3676 
     20272160     ECG1   3676 
     20272161     ECG1   3676 
     20272162     ECG1   3676 
     20272163     ECG1   3676 
     20272164     ECG1   3676 
     20272165     ECG1   3676 
     20272166     ECG1   3676 
     20272167     ECG1   3676 
     20272168     ECG1   3676 
     20272169     ECG1   3676 
     20272170     ECG1   3676 
     20272171     ECG1   3676 
     20272172     ECG1   3676 
     20272173     ECG1   3676 
     20272174     ECG1   3676 
     20272175     ECG1   3676 
     20272176     ECG1   3676 
     20272177     ECG1   3676 
     20272178     ECG1   3676 
     20272179     ECG1   3676 
     20272180     ECG1   3676 
     20272181     ECG1   3676 
     20272182     ECG1   3676 
     20272183     ECG1   3676 
     20272184     ECG1   3676 
     20272185     ECG1   3676 
     20272186     ECG1   3676 
     20272187     ECG1   3676 
     20272188     ECG1   3676 
     20272189     ECG1   3676 
     20272190     ECG1   3676 
     20272191     ECG1   3676 
     20272192     ECG1   3676 
     20272193     ECG1   3676 
     20272154     ECG2   3973 
     20272155     ECG2   3973 
     20272156     ECG2   3973 
     20272157     ECG2   3973 
     20272158     ECG2   3973 
     20272159     ECG2   3973 
     20272160     ECG2   3973 
     20272161     ECG2   3973 
     20272162     ECG2   3973 
     20272163     ECG2   3973 
     20272164     ECG2   3973 
     20272165     ECG2   3973 
     20272166     ECG2   3973 
     20272167     ECG2   3973 
     20272168     ECG2   3973 
     20272169     ECG2   3973 
     20272170     ECG2   3973 
     20272171     ECG2   3973 
     20272172     ECG2   3973 
     20272173     ECG2   3973 
     20272174     ECG2   3973 
     20272175     ECG2   3973 
     20272176     ECG2   3973 
     20272177     ECG2   3973 
     20272178     ECG2   3973 
     20272179     ECG2   3973 
     20272180     ECG2   3973 
     20272181     ECG2   3973 
     20272182     ECG2   3973 
     20272183     ECG2   3973 
     20272184     ECG2   3973 
     20272185     ECG2   3973 
     20272186     ECG2   3973 
     20272187     ECG2   3973 
     20272188     ECG2   3973 
     20272189     ECG2   3973 
     20272190     ECG2   3973 
     20272191     ECG2   3973 
     20272192     ECG2   3973 
     20272193     ECG2   3973 
     20272154     ECG3   1361 
     20272155     ECG3   1361 
     20272156     ECG3   1361 
     20272157     ECG3   1361 
     20272158     ECG3   1361 
     20272159     ECG3   1361 
     20272160     ECG3   1361 
     20272161     ECG3   1361 
     20272162     ECG3   1361 
     20272163     ECG3   1361 
     20272164     ECG3   1361 
     20272165     ECG3   1361 
     20272166     ECG3   1361 
     20272167     ECG3   1361 
     20272168     ECG3   1361 
     20272169     ECG3   1361 
     20272170     ECG3   1361 
     20272171     ECG3   1361 
     20272172     ECG3   1361 
     20272173     ECG3   1361 
     20272174     ECG3   1361 
     20272175     ECG3   1361 
     20272176     ECG3   1361 
     20272177     ECG3   1361 
     20272178     ECG3   1361 
     20272179     ECG3   1361 
     20272180     ECG3   1361 
     20272181     ECG3   1361 
     20272182     ECG3   1361 
     20272183     ECG3   1361 
     20272184     ECG3   1361 
     20272185     ECG3   1361 
     20272186     ECG3   1361 
     20272187     ECG3   1361 
     20272188     ECG3   1361 
     20272189     ECG3   1361 
     20272190     ECG3   1361 
     20272191     ECG3   1361 
     20272192     ECG3   1361 
     20272193     ECG3   1361 
     20272154     ECG4   2857 
     20272155     ECG4   2857 
     20272156     ECG4   2857 
     20272157     ECG4   2857 
     20272158     ECG4   2857 
     20272159     ECG4   2857 
     20272160     ECG4   2857 
     20272161     ECG4   2857 
     20272162     ECG4   2857 
     20272163     ECG4   2857 
     20272164     ECG4   2857 
     20272165     ECG4   2857 
     20272166     ECG4   2857 
     20272167     ECG4   2857 
     20272168     ECG4   2857 
     20272169     ECG4   2857 
     20272170     ECG4   2857 
     20272171     ECG4   2857 
     20272172     ECG4   2857 
     20272173     ECG4   2857 
     20272174     ECG4   2857 
     20272175     ECG4   2857 
     20272176     ECG4   2857 
     20272177     ECG4   2857 
     20272178     ECG4   2857 
     20272179     ECG4   2857 
     20272180     ECG4   2857 
     20272181     ECG4   2857 
     20272182     ECG4   2857 
     20272183     ECG4   2857 
     20272184     ECG4   2857 
     20272185     ECG4   2857 
     20272186     ECG4   2857 
     20272187     ECG4   2857 
     20272188     ECG4   2857 
     20272189     ECG4   2857 
     20272190     ECG4   2857 
     20272191     ECG4   2857 
     20272192     ECG4   2857 
     20272193     ECG4   2857 
     20272194     ECG1   3676 
     20272195     ECG1   3676 
