UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20241115     PULS   2142 
     20241117     PULS   2165 
     20241119     PULS   2189 
     20241121     PULS   2224 
     20241123     PULS   2247 
     20241125     PULS   2259 
     20241127     PULS   2283 
     20241129     PULS   2283 
     20241131     PULS   2271 
     20241133     PULS   2271 
     20241135     PULS   2259 
     20241137     PULS   2259 
     20241139     PULS   2247 
     20241141     PULS   2247 
     20241143     PULS   2247 
     20241145     PULS   2247 
     20241147     PULS   2236 
     20241149     PULS   2236 
     20241151     PULS   2212 
     20241153     PULS   2212 
     20241154     PULS   2189 
     20241156     PULS   2177 
     20241158     PULS   2153 
     20241160     PULS   2153 
     20241162     PULS   2153 
     20241164     PULS   2142 
     20241166     PULS   2142 
     20241168     PULS   2142 
     20241170     PULS   2153 
     20241172     PULS   2153 
     20241174     PULS   2142 
     20241176     PULS   2130 
     20241178     PULS   2118 
     20241180     PULS   2106 
     20241182     PULS   2083 
     20241184     PULS   2059 
     20241186     PULS   2059 
     20241190     PULS   2036 
     20241192     PULS   2024 
     20241154     PULS   2048  PULS_TRIGGER
     20241194     PULS   2012 
     20241196     PULS   2001 
     20241198     PULS   2001 
     20241200     PULS   2001 
     20241202     PULS   2001 
     20241204     PULS   2001 
     20241206     PULS   2024 
     20241208     PULS   2024 
     20241212     PULS   2059 
     20241214     PULS   2071 
     20241216     PULS   2083 
     20241218     PULS   2071 
     20241220     PULS   2071 
     20241222     PULS   2059 
     20241224     PULS   2059 
     20241230     PULS   2059 
     20241232     PULS   2059 
     20241234     PULS   2083 
     20241236     PULS   2106 
     20241238     PULS   2130 
     20241240     PULS   2153 
     20241242     PULS   2177 
     20241244     PULS   2189 
     20241246     PULS   2189 
     20241248     PULS   2177 
     20241250     PULS   2142 
     20241252     PULS   2106 
     20241254     PULS   2059 
     20241256     PULS   2036 
     20241258     PULS   1977 
     20241260     PULS   1954 
     20241262     PULS   1918 
     20241264     PULS   1895 
     20241266     PULS   1871 
     20241268     PULS   1848 
     20241270     PULS   1824 
     20241272     PULS   1801 
     20241274     PULS   1789 
     20241276     PULS   1789 
     20241278     PULS   1789 
     20241280     PULS   1789 
     20241282     PULS   1813 
     20241284     PULS   1836 
     20241286     PULS   1848 
     20241288     PULS   1860 
     20241290     PULS   1871 
     20241292     PULS   1883 
     20241294     PULS   1895 
     20241296     PULS   1907 
     20241298     PULS   1918 
     20241300     PULS   1930 
     20241302     PULS   1954 
     20241304     PULS   1965 
     20241306     PULS   1965 
     20241308     PULS   1965 
     20241310     PULS   1965 
     20241312     PULS   1954 
     20241314     PULS   1930 
     20241316     PULS   1918 
     20241318     PULS   1907 
     20241320     PULS   1895 
     20241322     PULS   1895 
     20241324     PULS   1895 
     20241326     PULS   1895 
     20241328     PULS   1907 
     20241330     PULS   1907 
     20241332     PULS   1918 
     20241334     PULS   1918 
     20241336     PULS   1930 
     20241338     PULS   1930 
     20241340     PULS   1918 
     20241342     PULS   1907 
     20241344     PULS   1883 
     20241346     PULS   1883 
     20241348     PULS   1871 
     20241350     PULS   1871 
     20241352     PULS   1871 
     20241354     PULS   1871 
     20241356     PULS   1871 
     20241358     PULS   1883 
     20241360     PULS   1895 
     20241362     PULS   1907 
     20241364     PULS   1918 
     20241366     PULS   1954 
     20241368     PULS   1977 
     20241370     PULS   2001 
     20241372     PULS   2036 
     20241374     PULS   2071 
     20241376     PULS   2118 
     20241378     PULS   2165 
     20241380     PULS   2200 
     20241382     PULS   2236 
     20241384     PULS   2283 
     20241386     PULS   2306 
     20241388     PULS   2353 
     20241390     PULS   2377 
     20241392     PULS   2400 
     20241394     PULS   2435 
     20241396     PULS   2447 
     20241398     PULS   2471 
     20241400     PULS   2494 
     20241402     PULS   2506 
     20241404     PULS   2518 
     20241406     PULS   2541 
     20241408     PULS   2553 
     20241410     PULS   2576 
     20241412     PULS   2600 
     20241414     PULS   2612 
     20241416     PULS   2612 
     20241418     PULS   2623 
     20241420     PULS   2635 
     20241422     PULS   2635 
     20241424     PULS   2623 
     20241426     PULS   2612 
     20241428     PULS   2600 
     20241430     PULS   2588 
     20241432     PULS   2588 
     20241434     PULS   2576 
     20241436     PULS   2565 
     20241438     PULS   2565 
     20241440     PULS   2553 
     20241442     PULS   2529 
     20241444     PULS   2506 
     20241446     PULS   2482 
     20241448     PULS   2435 
     20241450     PULS   2400 
     20241452     PULS   2377 
     20241454     PULS   2341 
     20241456     PULS   2318 
     20241458     PULS   2294 
     20241460     PULS   2259 
     20241462     PULS   2247 
     20241464     PULS   2212 
     20241466     PULS   2189 
     20241468     PULS   2165 
     20241470     PULS   2142 
     20241472     PULS   2118 
     20241442     PULS   2048  PULS_TRIGGER
     20241474     PULS   2106 
     20241476     PULS   2106 
     20241478     PULS   2106 
     20241480     PULS   2106 
     20241482     PULS   2118 
     20241484     PULS   2106 
     20241486     PULS   2106 
     20241488     PULS   2106 
     20241490     PULS   2083 
     20241492     PULS   2083 
     20241494     PULS   2071 
     20241496     PULS   2071 
     20241498     PULS   2059 
     20241500     PULS   2059 
     20241502     PULS   2059 
     20241504     PULS   2071 
     20241506     PULS   2071 
     20241508     PULS   2083 
     20241510     PULS   2083 
     20241512     PULS   2083 
     20241514     PULS   2071 
     20241516     PULS   2059 
     20241520     PULS   2036 
     20241522     PULS   2024 
     20241524     PULS   2036 
     20241526     PULS   2036 
     20241528     PULS   2036 
     20241530     PULS   2036 
     20241538     PULS   2036 
     20241540     PULS   2036 
     20241542     PULS   2024 
     20241544     PULS   2001 
     20241546     PULS   2001 
     20241548     PULS   1989 
     20241550     PULS   1977 
     20241552     PULS   1977 
     20241554     PULS   1977 
     20241556     PULS   1965 
     20241558     PULS   1965 
     20241560     PULS   1954 
     20241562     PULS   1942 
     20241564     PULS   1942 
     20241566     PULS   1942 
     20241568     PULS   1942 
     20241570     PULS   1942 
     20241572     PULS   1954 
     20241574     PULS   1977 
     20241576     PULS   1989 
     20241578     PULS   2012 
     20241580     PULS   2024 
     20241582     PULS   2036 
     20241584     PULS   2036 
     20241586     PULS   2036 
     20241592     PULS   2036 
     20241594     PULS   2036 
     20241596     PULS   2024 
     20241598     PULS   2012 
     20241600     PULS   2012 
     20241602     PULS   2001 
     20241604     PULS   2001 
     20241606     PULS   2012 
     20241608     PULS   2024 
     20241610     PULS   2036 
     20241624     PULS   2059 
     20241626     PULS   2059 
     20241628     PULS   2071 
     20241630     PULS   2071 
     20241632     PULS   2071 
     20241634     PULS   2071 
     20241636     PULS   2059 
     20241638     PULS   2059 
     20241646     PULS   2033 
     20241648     PULS   2033 
     20241650     PULS   2033 
     20241652     PULS   2018 
     20241654     PULS   2003 
     20241656     PULS   2003 
