UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20241115     RESP   2786 
     20241123     RESP   2832 
     20241131     RESP   2879 
     20241139     RESP   2923 
     20241147     RESP   2966 
     20241154     RESP   3006 
     20241162     RESP   3044 
     20241170     RESP   3080 
     20241178     RESP   3113 
     20241186     RESP   3143 
     20241194     RESP   3169 
     20241202     RESP   3191 
     20241210     RESP   3209 
     20241218     RESP   3221 
     20241226     RESP   3228 
     20241234     RESP   3232 
     20241242     RESP   3231 
     20241250     RESP   3228 
     20241258     RESP   3221 
     20241266     RESP   3210 
     20241274     RESP   3197 
     20241282     RESP   3179 
     20241290     RESP   3159 
     20241298     RESP   3137 
     20241306     RESP   3113 
     20241314     RESP   3089 
     20241322     RESP   3065 
     20241330     RESP   3041 
     20241338     RESP   3017 
     20241346     RESP   2991 
     20241354     RESP   2967 
     20241362     RESP   2943 
     20241370     RESP   2920 
     20241378     RESP   2899 
     20241386     RESP   2880 
     20241394     RESP   2862 
     20241402     RESP   2847 
     20241410     RESP   2832 
     20241418     RESP   2819 
     20241426     RESP   2806 
     20241434     RESP   2793 
     20241442     RESP   2781 
     20241450     RESP   2769 
     20241458     RESP   2757 
     20241466     RESP   2745 
     20241474     RESP   2733 
     20241482     RESP   2720 
     20241490     RESP   2706 
     20241498     RESP   2691 
     20241506     RESP   2676 
     20241514     RESP   2659 
     20241522     RESP   2642 
     20241530     RESP   2624 
     20241538     RESP   2607 
     20241546     RESP   2591 
     20241554     RESP   2574 
     20241562     RESP   2557 
     20241570     RESP   2540 
     20241578     RESP   2524 
     20241586     RESP   2507 
     20241594     RESP   2491 
     20241602     RESP   2475 
     20241610     RESP   2459 
     20241618     RESP   2444 
     20241626     RESP   2429 
     20241634     RESP   2414 
     20241642     RESP   2400 
     20241650     RESP   2387 
     20241658     RESP   2375 
     20241666     RESP   2363 
     20241674     RESP   2352 
     20241682     RESP   2342 
     20241690     RESP   2332 
     20241698     RESP   2324 
     20241706     RESP   2316 
     20241714     RESP   2308 
     20241722     RESP   2301 
     20241730     RESP   2296 
     20241738     RESP   2290 
     20241746     RESP   2284 
     20241754     RESP   2278 
     20241762     RESP   2272 
     20241770     RESP   2265 
     20241778     RESP   2258 
     20241786     RESP   2251 
     20241794     RESP   2243 
     20241802     RESP   2234 
     20241810     RESP   2225 
     20241818     RESP   2215 
     20241826     RESP   2204 
     20241834     RESP   2192 
     20241842     RESP   2178 
     20241850     RESP   2163 
     20241858     RESP   2147 
     20241866     RESP   2129 
     20241874     RESP   2109 
     20241882     RESP   2088 
     20241890     RESP   2066 
     20241898     RESP   2044 
     20241906     RESP   2019 
     20241914     RESP   1993 
     20241922     RESP   1966 
     20241930     RESP   1939 
     20241938     RESP   1913 
     20241946     RESP   1886 
     20241954     RESP   1859 
     20241962     RESP   1833 
     20241970     RESP   1808 
     20241978     RESP   1784 
     20241986     RESP   1760 
     20241994     RESP   1736 
     20242002     RESP   1714 
     20242010     RESP   1691 
     20242018     RESP   1669 
     20242026     RESP   1645 
     20242034     RESP   1620 
     20242042     RESP   1595 
     20242050     RESP   1569 
     20242058     RESP   1543 
     20242066     RESP   1515 
     20242074     RESP   1486 
     20242082     RESP   1457 
     20242090     RESP   1427 
     20242098     RESP   1397 
     20242106     RESP   1366 
     20242114     RESP   1337 
     20242122     RESP   1309 
     20242130     RESP   1282 
     20242138     RESP   1258 
     20242146     RESP   1237 
     20242154     RESP   1216 
     20242162     RESP   1199 
     20242170     RESP   1186 
     20242178     RESP   1175 
     20242186     RESP   1169 
     20242194     RESP   1168 
     20242202     RESP   1171 
     20242210     RESP   1178 
     20242218     RESP   1188 
     20242226     RESP   1203 
     20242234     RESP   1222 
     20242242     RESP   1244 
     20242250     RESP   1272 
     20242258     RESP   1303 
     20242266     RESP   1338 
     20242274     RESP   1375 
     20242282     RESP   1415 
     20242290     RESP   1455 
     20242298     RESP   1498 
     20242306     RESP   1541 
     20242314     RESP   1587 
     20242322     RESP   1633 
     20242330     RESP   1679 
     20242338     RESP   1724 
     20242346     RESP   1769 
     20242354     RESP   1814 
     20242362     RESP   1857 
     20242370     RESP   1900 
     20242378     RESP   1943 
     20242386     RESP   1987 
     20242394     RESP   2029 
     20242402     RESP   2070 
     20242410     RESP   2114 
     20242418     RESP   2156 
     20242426     RESP   2199 
     20242434     RESP   2242 
     20242442     RESP   2285 
     20242450     RESP   2328 
     20242458     RESP   2372 
     20242466     RESP   2417 
     20242474     RESP   2463 
     20242482     RESP   2508 
     20242490     RESP   2553 
     20242498     RESP   2598 
     20242506     RESP   2642 
     20242514     RESP   2687 
     20242522     RESP   2733 
     20242530     RESP   2779 
     20242538     RESP   2826 
     20242546     RESP   2873 
     20242554     RESP   2918 
     20242562     RESP   2961 
     20242570     RESP   3003 
     20242578     RESP   3043 
     20242586     RESP   3081 
     20242594     RESP   3117 
     20242602     RESP   3150 
     20242610     RESP   3179 
     20242618     RESP   3201 
     20242626     RESP   3218 
     20242634     RESP   3228 
     20242642     RESP   3233 
     20242650     RESP   3231 
     20242658     RESP   3225 
     20242666     RESP   3213 
     20242674     RESP   3196 
     20242682     RESP   3173 
     20242690     RESP   3145 
     20242698     RESP   3112 
     20242706     RESP   3075 
     20242714     RESP   3037 
     20242722     RESP   2996 
     20242730     RESP   2954 
     20242738     RESP   2909 
     20242746     RESP   2864 
     20242754     RESP   2817 
     20242762     RESP   2769 
     20242770     RESP   2723 
     20242778     RESP   2675 
     20242786     RESP   2630 
     20242794     RESP   2585 
     20242802     RESP   2541 
     20242810     RESP   2498 
     20242818     RESP   2457 
     20242826     RESP   2417 
     20242834     RESP   2378 
     20242842     RESP   2340 
     20242850     RESP   2303 
     20242858     RESP   2267 
     20242866     RESP   2232 
     20242874     RESP   2198 
     20242882     RESP   2165 
     20242890     RESP   2131 
     20242898     RESP   2097 
     20242906     RESP   2064 
     20242914     RESP   2032 
     20242922     RESP   1998 
     20242930     RESP   1963 
     20242938     RESP   1929 
     20242946     RESP   1894 
     20242954     RESP   1859 
     20242962     RESP   1824 
     20242970     RESP   1789 
     20242978     RESP   1753 
     20242986     RESP   1717 
     20242994     RESP   1680 
     20243002     RESP   1642 
     20243010     RESP   1603 
     20243018     RESP   1564 
     20243026     RESP   1525 
     20243034     RESP   1486 
     20243042     RESP   1446 
     20243050     RESP   1406 
     20243058     RESP   1366 
     20243066     RESP   1325 
     20243074     RESP   1284 
     20243082     RESP   1244 
     20243090     RESP   1206 
     20243098     RESP   1170 
     20243106     RESP   1137 
     20243114     RESP   1105 
     20243122     RESP   1075 
     20243130     RESP   1048 
     20243138     RESP   1022 
     20243146     RESP    998 
     20243154     RESP    977 
