UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 345
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         20249147         20249157     0
     0      16         20249147         20249157     0
     0      32         20249147         20249157     0
     0      48         20249147         20249157     0
     0       7         20249172         20249182     0
     0      23         20249172         20249182     0
     0      39         20249172         20249182     0
     0      55         20249172         20249182     0
     0      14         20249197         20249207     0
     0      30         20249197         20249207     0
     0      46         20249197         20249207     0
     0      62         20249197         20249207     0
     0       5         20249222         20249232     0
     0      21         20249222         20249232     0
     0      37         20249222         20249232     0
     0      53         20249222         20249232     0
     0      12         20249247         20249257     0
     0      28         20249247         20249257     0
     0      44         20249247         20249257     0
     0      60         20249247         20249257     0
     0       3         20249272         20249282     0
     0      19         20249272         20249282     0
     0      35         20249272         20249282     0
     0      51         20249272         20249282     0
     0      10         20249297         20249307     0
     0      26         20249297         20249307     0
     0      42         20249297         20249307     0
     0      58         20249297         20249307     0
     0       1         20249322         20249332     0
     0      17         20249322         20249332     0
     0      33         20249322         20249332     0
     0      49         20249322         20249332     0
     0       8         20249347         20249357     0
     0      24         20249347         20249357     0
     0      40         20249347         20249357     0
     0      56         20249347         20249357     0
     0      15         20249372         20249382     0
     0      31         20249372         20249382     0
     0      47         20249372         20249382     0
     0      63         20249372         20249382     0
     0       6         20249397         20249407     0
     0      22         20249397         20249407     0
     0      38         20249397         20249407     0
     0      54         20249397         20249407     0
     0      13         20249422         20249432     0
     0      29         20249422         20249432     0
     0      45         20249422         20249432     0
     0      61         20249422         20249432     0
     0       4         20249447         20249457     0
     0      20         20249447         20249457     0
     0      36         20249447         20249457     0
     0      52         20249447         20249457     0
     0      11         20249472         20249482     0
     0      27         20249472         20249482     0
     0      43         20249472         20249482     0
     0      59         20249472         20249482     0
     0       2         20249497         20249507     0
     0      18         20249497         20249507     0
     0      34         20249497         20249507     0
     0      50         20249497         20249507     0
